"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Thematic Classification"
"When does private finance count as climate finance? Accounting for private contributions towards international pledges","https://scispace.com/paper/when-does-private-finance-count-as-climate-finance-jyeue5ox1g","2015","","","Aaron Atteridge
Adis Dzebo","","","- **Relevance Score:** 60/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses a novel accounting framework to define when private finance qualifies as climate finance, tracks mobilised private resources and discusses additionality, touches on concessionality, double‑counting safeguards, UNFCCC history, and political implications.","Introduction In 2009, as part of the Copenhagen Accord, developed countries committed to “a goal of mobilizing jointly USD 100 billion dollars a year by 2020 to address the needs of developing countries” (UNFCCC 2009). In subsequent decisions, the Parties to the United Nations Framework Convention on Climate Change have said this includes from both public and private funds (see, e.g., UNFCCC 2011). Yet precisely which kinds of private finance might be counted still remains vague.","PRIMARY: PUBLIC_PRIVATE_MOBILIZATION | SECONDARY: DEFINITIONS_EVOLUTION, ACCOUNTING_MEASUREMENT"
"Reporting Tables - potential areas of work under SBSTA and options - Part II: Financial support provided, mobilised and received","https://scispace.com/paper/reporting-tables-potential-areas-of-work-under-sbsta-and-5frbyqhguh","2019","Report Series","","Chiara Falduto
Jane Ellis","10.1787/B0BA5A7E-EN","https://scispace.com/pdf/reporting-tables-potential-areas-of-work-under-sbsta-and-5frbyqhguh.pdf","- **Relevance Score:** 50/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses OECD RC and DAC methods to track mobilised private finance, discusses causality and double‑counting; reviews existing frameworks but lacks original methodology development or critical political analysis.","The Modalities, Procedures and Guidelines (MPGs) adopted at COP24 in Katowice lay out rules for reporting and reviewing information under the Enhanced Transparency Framework of the Paris Agreement. The Katowice decision on the MPGs requests the Subsidiary Body for Scientific and Technological Advice (SBSTA) to develop Common Tabular Formats (CTFs) for the reporting of information on, inter alia, financial support provided, mobilised and received. This paper analyses key issues and options that Parties may wish to consider when developing CTFs for reporting on these elements. The widespread use of CTFs for climate finance reporting could potentially facilitate comparability and aggregation of data and information on financial support in the future. This paper also develops options for CTF tables for the three areas of financial support analysed.","PRIMARY: TRANSPARENCY_DOUBLE_COUNTING | SECONDARY: ACCOUNTING_MEASUREMENT, INSTITUTIONAL_GOVERNANCE"
"Estimating mobilised private climate finance: methodological approaches, options and trade-offs","https://scispace.com/paper/_qmgUPYiCWcJ","","","","R Jachnik
R Caruso
A Srivastava","","https://www.oecd.org/content/dam/oecd/en/publications/reports/2015/02/estimating-mobilised-private-climate-finance_g17a25d8/5js4x001rqf8-en.pdf","- **Relevance Score:** 48/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses MRV framework with OECD DAC data to develop private finance accounting; calculates grant‑equivalent values; tracks mobilised private flows and discusses additionality; mentions transparency but lacks detailed double‑counting mitigation; does not engage UNFCCC history or critical performativity analysis.","","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: PUBLIC_PRIVATE_MOBILIZATION, CONCESSIONALITY_GRANT_EQUIV"
"Sector-level approach to estimating mobilised private climate finance","https://scispace.com/paper/cXL5K6Q8XvkJ","","","","R Jachnik
V Raynaud","","https://read.oecd-ilibrary.org/environment/sector-level-approach-to-estimating-mobilised-private-climate-finance_5jrp02jnzl35-en.html","- **Relevance Score:** 48/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses sector‑level method to quantify mobilised private climate finance, directly addressing tracking and additionality. Engages OECD DAC data but lacks deep grant‑equivalent analysis, double‑counting safeguards, UNFCCC history, and critical performativity discussion.","","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: PUBLIC_PRIVATE_MOBILIZATION, ADDITIONALITY_ODA"
"Estimating Mobilised Private Climate Finance","https://scispace.com/paper/estimating-mobilised-private-climate-finance-70lvfdoiay","2015","Report Series","Research Papers in Economics","Raphaël Jachnik
Randy Caruso
Aman Srivastava","10.1787/5JS4X001RQF8-EN","https://scispace.com/pdf/estimating-mobilised-private-climate-finance-70lvfdoiay.pdf","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses risk‑based proxies to estimate private finance mobilisation; discusses concessionality, double‑counting safeguards, and methodological trade‑offs, but lacks OECD‑DAC, UNFCCC history, and critical performativity analysis.","Quantifying the effect of public interventions aimed at mobilising private finance for climate activities is technically complex and challenging. As a step towards addressing this complexity, the report presents a framework of key decision points for estimating publicly mobilised private finance. This framework outlines different methodological options and choices needed to make these estimates. It assesses trade-offs and implications of these choices in terms of their accuracy, the incentives they provide, their potential to be standardised across entities, and their practicality (data availability, expertise and resource demands). The report further identifies and suggests practical options available in the short-term for estimating mobilised private finance, while underlining the need to provide transparency about underlying definitions, assumptions and limitations. It also recommends longer-term actions to improve these methods, including the need to converge on definitions, to build data systems and to improve and standardise estimation methods.
The primary objective of this report is to inform the development of methods to measure in a transparent manner progress towards the fulfilment of the financial commitments made by developed countries in the context of international negotiations under the United Nations Framework Convention on Climate Change. It also aims to encourage careful examination of the links between public interventions and private climate finance. This is to ensure that methods to estimate mobilisation help encourage the efficiency and effectiveness of public interventions aimed at mobilising such finance.","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: PUBLIC_PRIVATE_MOBILIZATION, TRANSPARENCY_DOUBLE_COUNTING"
"New and additional to what? Options for baselines to assess"" new and additional"" climate finance","https://scispace.com/paper/hUu4Xd6sU4QJ","","","","M Stadelmann
JT Roberts
A Michaelowa","","https://www.zora.uzh.ch/id/eprint/52819/9/Stadelmann_New_and_additional.pdf","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Develops baseline options for ‘new and additional’ finance, linking to ODA definitions and Rio markers; touches on additionality and transparency but lacks private‑finance tracking, double‑counting safeguards, UNFCCC history, and critical performativity analysis.","","PRIMARY: ADDITIONALITY_ODA | SECONDARY: ACCOUNTING_MEASUREMENT, TRANSPARENCY_DOUBLE_COUNTING"
"In Search of Double Dividends from Climate Change Interventions Evidence from Forest Conservation and Houshould Energy Transitions","https://scispace.com/paper/in-search-of-double-dividends-from-climate-change-1cs75o915c","2015","","","Gunnar Köhlin
Subhrendu K. Pattanayak
Erin O. Sills
Eskil Mattsson
Madelene Ostwald
Ariana Salas
Daniel Ternald","","https://scispace.com/pdf/in-search-of-double-dividends-from-climate-change-1cs75o915c.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses OECD‑DAC Rio markers to critique measurement and double‑counting; discusses additionality and private‑finance tracking but lacks new accounting methodology, UNFCCC history, or critical performativity analysis.","Climate change is the greatest challenge facing humanity, and we are only starting to address it. Climate change scenarios indicate that poor people in developing countries will be particularly neg ...","*   **Alix-Garcia, J., Aronson, G., Radeloff, V., Ramirez-Reyes, C., Shapiro, E., Sims, K, & Yañez-Pagans, P. (2014). Environmental and Socioeconomic Impacts of Mexico's Payments for Ecosystem Services Program, New Dehli: International Initiative for Impact Evaluation.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Andam, K. S., Ferraro, P. J., Pfaff, A. S., & Sanchez-Azofeifa, G. A. (2007). Protected areas and avoided deforestation: a statistical evaluation, Washington DC: Global Environment Facility.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Berhane Weldegebriel, Z. & Prowse, M. (2013). Climate-Change Adaptation in Ethiopia: To What Extent Does Social Protection Influence Livelihood Diversification?. Development Policy Review, 31(S2), pp. 35-56.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Cole, R. J. (2010). Social and environmental impacts of payments for environmental services for agroforestry on small-scale farms in southern Costa Rica. International Journal of Sustainable Development and World Ecology, 17(3), pp. 208-216.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Duguma, L. A. (2013). Financial analysis of agroforestry land uses and its implications for smallholder farmers livelihood improvement in Ethiopia. Agroforestry Systems, 87(1), pp. 217-231.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Groom, B., Grosjean, P., Kontoleon, A., Swanson, T., & Zhang, S. (2010). Relaxing rural constraints: a 'win-win' policy for poverty and environment in China?. Oxford Economic Papers, 62, pp. 132–156.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Hegde, R. (2010). Payments for ecosystem services and farm household behaviour: The case of carbon in Mozambiques agroforests. University of British Columbia, dissertation for PhD. degree.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Hegde, R., & Bull, G. Q. (2011). Performance of an agro-forestry based Payments-for-Environmental-Services project in Mozambique: A household level analysis. Ecological Economics, 71, pp. 122-130.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Huang, L., Shao, Q. Q., & Liu, J. Y. (2012). Forest restoration to achieve both ecological and economic progress, Poyang Lake basin, China. Ecological Engineering, 44, pp. 53-60.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Jindal, R., Kerr, J. M., & Carter, S. (2012). Reducing Poverty Through Carbon Forestry? Impacts of the N'hambita Community Carbon Project in Mozambique. World Development, 40(10), pp. 2123-2135.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Maraseni, T. N., Neupane, P. R., Lopez-Casero, E., & Cadman, T. (2014). An assessment of the impacts of the REDD plus pilot project on community forests user groups (CFUGs) and their community forests in Nepal. Journal of Environmental Management, 136, pp. 37-46.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Naidu, S. C. (2013). Legal exclusions, private wealth and livelihoods: An analysis of work time allocation in protected areas. Ecological Economics, 89, pp. 82-91.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Pagiola, S., Ríos, A., & Arcenas, A. (2008). Can the poor participate in payments for environmental services? Lessons from the silvopastoral project in Nicaragua. Environment and Development Economics, 13(3), pp. 299-325.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Pender, J., Suyanto, Kerr, J. & Kato, E. (2008). Impacts of the Hutan Kamasyarakatan Social Forestry Program in the Sumberjaya Watershed, West Lampung District of Sumatra, Indonesia, Washington DC: International Food Policy Research Institute (IFPRI).**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Robalino, J. & Villalobos-Fiatt, L. (2010). Conservation Policies and Labor Markets, Turrialba: Environment for Development.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Ross, M., Depro, B. & Pattanayak, S. K. (2007). Assessing the Economy-Wide Effects of Costa Rica's Payments for Environmental Services Program, Washington DC: World Bank.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Scullion, J., Thomas, C. W., Vogt, K. A., Pérez-Maqueo, O., & Logsdon, M. G. (2011). Evaluating the environmental impact of payments for ecosystem services in Coatepec (Mexico) using remote sensing and on-site interviews. Environmental Conservation, 38(4), pp. 426-434.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Sills, E., Arriagada, R., Ferraro, P., Pattanyak, S., Carrasco, L., Ortiz, E., & Andan, K. (2008). Impact of Costa Rica's Program of Payments for Environmental Services on Land Use, Washington DC: World Bank.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **van Vliet, N. (2010). Participatory Vulnerability Assessment in the Context of Conservation and Development Projects: A Case Study of Local Communities in Southwest Cameroon. Ecology and Society, 15(2).**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Walton, M. E. M., Samonte-Tan, G. P. B., Primavera, J. H., Edwards-Jones, G., & Le Vay, L. (2006). Are mangroves worth replanting? The direct economic benefits of a community-based reforestation project. Environmental Conservation, 33 (4), pp. 335-343.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **World Bank, 2009. Republic of Niger- Impacts of Sustainable Land Management Programs on Land Management and Poverty in Niger, Washington DC: World Bank.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none
*   **Yin, R. S., Liu, C., Zhao, M. J., Yao, S. B., & Liu, H. (2014). The implementation and impacts of China's largest payment for ecosystem services program as revealed by longitudinal household data. Land Use Policy, 40, pp. 45-55.**
    PRIMARY: POLICY_EMPIRICAL | SECONDARY: none"
"Quantifying international public finance for climate change adaptation in Africa","https://scispace.com/paper/quantifying-international-public-finance-for-climate-change-1y63p4vyqv","2021","Journal Article","Climate Policy","Georgia Savvidou
Aaron Atteridge
Kulthoum Omari-Motsumi
Christopher H. Trisos","10.1080/14693062.2021.1978053","https://www.tandfonline.com/doi/pdf/10.1080/14693062.2021.1978053","- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses OECD DAC data to build a replicable methodology for mapping adaptation finance in Africa, includes grant‑equivalent calculations, offers limited discussion of transparency, but does not address private finance, UNFCCC history, or critical performativity analysis.","","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: CONCESSIONALITY_GRANT_EQUIV, POLICY_EMPIRICAL"
"Climate Finance Shadow Report 2018: Assessing progress towards the $100 billion commitment","https://scispace.com/paper/climate-finance-shadow-report-2018-assessing-progress-49jl4tn9b9","2018","Report","","Tracy Carty
Armelle Le Comte","10.21201/2018.2388","https://scispace.com/pdf/climate-finance-shadow-report-2018-assessing-progress-49jl4tn9b9.pdf","- **Relevance Score:** 38/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses detailed Rio‑marker and grant‑equivalent analysis; proposes clearer reporting guidelines but lacks new accounting models, private‑finance tracking, historic UNFCCC review, and deep critical theory.","Climate finance efforts by developed countries are at a critical juncture. There are only two years before the deadline by which developed countries have committed to jointly mobilize $100bn per year to support climate action in developing countries. This $100bn commitment has a pivotal role to play in supporting developing countries to reduce their emissions and adapt to the impacts of climate change. This year will also see governments at the 24th Conference of Parties (COP24) in Katowice agree new rules to govern how climate finance is accounted under the Paris Agreement – rules that will shape the quality and transparency of climate finance provision for many years to come. This briefing paper offers an assessment of progress towards the $100bn goal. The second in a series, it looks at the latest donor figures for 2015–16, with a strong focus on public finance. It considers how close we are to the $100bn goal; where the money is coming from; where it is going; what it is being spent on; and how donors are counting the money they report.","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: CONCESSIONALITY_GRANT_EQUIV, ADDITIONALITY_ODA"
"Difficulties in accounting for private finance in international climate policy","https://scispace.com/paper/difficulties-in-accounting-for-private-finance-in-vanbebq8vy","2013","Journal Article","Climate Policy","Martin Stadelmann
Axel Michaelowa
J. Timmons Roberts","10.1080/14693062.2013.791146","","- **Relevance Score:** 38/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses case examples to highlight private‑finance tracking gaps and leverage ratios, touches on grant‑equivalent concepts, but lacks new methodology, detailed OECD‑DAC treatment, UNFCCC history, or critical performativity analysis.","","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: PUBLIC_PRIVATE_MOBILIZATION, CONCESSIONALITY_GRANT_EQUIV"
