"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Transparency principle for carbon emissions drives sustainable finance","https://scispace.com/paper/transparency-principle-for-carbon-emissions-drives-10jtiefn","2022","Posted Content","","","10.48550/arxiv.2202.07689","","Alignment of financial market incentives and carbon emissions disincentives is key to limiting global warming. Regulators and standards bodies have made a start by requiring some carbon-related disclosures and proposing others. Here we go further and propose a Carbon Equivalence Principle: all financial products shall contain a description of the equivalent carbon flows from greenhouse gases that the products enable, as well as their existing description in terms of cash flows. This description of the carbon flows enabled by the project shall be compatible with existing bank systems that track cashflows so that carbon flows have equal standing to cash flows. We demonstrate that this transparency alone can align incentives by applying it to project finance examples for power generation and by following through the financial analysis. The financial requirements to offset costs of carbon flows enabled in the future radically change project costs, and risk that assets become stranded, thus further increasing costs. This observation holds whichever partner in the project bears the enabled-carbon costs. Mitigating these risks requires project re-structuring to include negative emissions technologies. We also consider that sequestered carbon needs to remain sequestered permanently, e.g., for at least one hundred years. We introduce mixed financial-physical solutions to minimise this permanence cost, and price to them. This complements previous insurance-based proposals with lesser scope. For financial viability we introduce project designs that are financially net-zero, and as a consequence are carbon negative. Thus we see that adoption of the Carbon Equivalence Principle for financial products aligns incentives, requires product redesign, and is simply good financial management driving sustainability. ","In this paper , the Carbon Equivalence Principle (CEP) was proposed for financial products to align incentives between financial market incentives and carbon emissions disincentives, which is key to limiting global warming."
"Additionality après Paris : stronghold for environmental integrity?","https://scispace.com/paper/additionality-apres-paris-stronghold-for-environmental-an3qxx19rh","2018","","","Lukas Hermwille
Wolfgang Obergassel","","","This policy paper reviews the concept of additionality in the context of the Paris Agreement. Additionality is a key criterion that helps to maintain the environmental integrity of the Paris Agreement, especially when units created under Article 6.2 or 6.4 are used for offsetting purposes whether that is by Parties in order to meet their NDCs or whether by other entities with legal mitigation obligations.
It does so by first reviewing key concepts such as offsetting, environmental integrity, and baseline. Subsequently, it explores the context of additionality under the Paris Agreement. More specifically it discusses what should be counted as the baseline for additionality demonstration. The subsequent chapter then highlights the challenges with establishing additionality, that is establishing a causal relationship between a policy intervention and a proposed activity. Finally, the Policy Paper discusses aspects of international governance with respect to additionality.","This policy paper reviews the concept of additionality in the context of the Paris Agreement by first reviewing key concepts such as offsetting, environmental integrity, and baseline, and explores the contextof additionality under theParis Agreement."
"Harnessing innovative financial instruments for robust climate change mitigation in the United States","https://scispace.com/paper/harnessing-innovative-financial-instruments-for-robust-ifns0mj5evt6","2025","Journal Article","","Benjamin Damoah
Clement Yeboah","10.20935/acadenvsci7826","","This meta-analysis evaluates the effectiveness of innovative financial instruments in supporting the United States of America’s climate change mitigation efforts. A comprehensive search of peer-reviewed journal articles published between 2010 and 2023 identified 4580 records, with 30 peer-reviewed journal articles meeting the inclusion criteria. The study findings emphasized the significant effect of financial instruments in advocating sustainability. Green bonds significantly boosted renewable energy funding, reducing greenhouse gas emissions by 12–15% and reinforcing their important role in financial clean energy initiatives. Carbon pricing mechanisms, such as cap-and-trade programs, are effective, as they reduce emissions by 10–20% in states with strong, robust regulatory frameworks. These strong policies have established powerful economic incentives for lucrative businesses to combat carbon emissions whilst maintaining a competitive market. Sustainability-linked loans (SLLs) encouraged private investment in low-carbon technologies, and climate funds improved the resilience of vulnerable communities. Entities implementing cleaner practices gained from financial incentives, making these loans more attractive for sustainable development. Also, climate funds enhanced the resilience of at-risk communities, strengthening their adaptation techniques and disaster recovery efforts. However, the success of these instruments depends on transparent governance and consistent policy across federal and state levels. Strengthening the policy framework and enhancing investors’ confidence through transparent reporting are essential to scaling these tools effectively. ","This meta-analysis evaluates innovative financial instruments for US climate change mitigation, finding green bonds, carbon pricing, and sustainability-linked loans significantly reduce emissions (12-20%) and promote sustainable development, but require transparent governance and consistent policy."
"Unveiling the Hidden Dimensions of Sustainability Accounting Behind Green Economic Transformation","https://scispace.com/paper/unveiling-the-hidden-dimensions-of-sustainability-accounting-3lvdttzesyet","2025","Journal Article","The journal of academic science.","Ahmad Taufiq
Nana Adriana
Sri Kawuri","10.59613/5e0pbp40","","Sustainability accounting has emerged as a critical tool in driving the global transition towards a green economy. By integrating environmental, social, and governance (ESG) metrics into financial reporting, sustainability accounting seeks to uncover hidden dimensions that influence the alignment of economic activities with sustainable development goals. This study aims to explore the role of sustainability accounting in enabling green economic transformation, focusing on its application in assessing corporate environmental impact, resource efficiency, and stakeholder engagement. Employing a qualitative methodology, the research combines a literature review with case studies of industries at the forefront of sustainable practices. The findings reveal that sustainability accounting not only enhances transparency and accountability but also serves as a strategic decision-making framework for organizations transitioning to low-carbon operations. Furthermore, the research identifies critical challenges, such as the standardization of sustainability metrics, integration of ESG factors into financial systems, and the need for capacity-building among practitioners. Despite these barriers, the study underscores the potential of sustainability accounting to drive systemic change by fostering innovation, encouraging green investments, and promoting equitable resource allocation. This study contributes to the evolving discourse on sustainability by providing a comprehensive analysis of how accounting practices can address the complexities of environmental and social challenges. The findings highlight the necessity for collaboration between policymakers, businesses, and academia to develop robust sustainability accounting frameworks that support long-term economic and ecological resilience. ","This study explores the role of sustainability accounting in driving green economic transformation, revealing its potential to enhance transparency, accountability, and strategic decision-making, while highlighting critical challenges and the need for collaboration to develop robust sustainability frameworks."
"How Can Green Finance and Technological Innovation Transform Sustainable Performance Across G20 Nations?","https://scispace.com/paper/how-can-green-finance-and-technological-innovation-transform-xyb2q2zqsaxo","2025","Journal Article","Foundation University journal of business & economics","Shahzeb Khurshid
Aman Ullah
Alishba Rahman Ullah","10.33897/fujbe.v10i1.1005","","Achieving sustainable goals involves leveraging private sector investments in renewable energy sources. The global surge in demand for alternative renewable energy and green finance has spurred extensive research in these domains. Throughout the study period, the evaluation of sustainable practices is conducted through the environmental, social, and governance (ESG) pillars. This study investigates the impact of green finance, green energy, and green economic development with the moderation of technological innovation by utilizes secondary data spanning from 2011 to 2020 across G-20 countries. Using the fixed effects method, the results confirm significant relationships between sustainability, green finance, economic development, GDP, and technological innovation. Green finance, green energy, and green economy development negatively impact sustainability, while technological innovation shows a positive effect. However, the moderating role of technological innovation negatively influences sustainability when combined with green finance. The findings are robust and validated through Driscoll Kraay (D-K) standard error estimation. Policymakers should prioritize reforms in green finance policies to ensure they effectively contribute to long-term sustainability goals. Moreover, fostering a stronger integration of technological innovation with green economic development can significantly enhance the outcomes of sustainability in the G-20 countries. Encouraging investments in both green energy and innovation, along with the regulatory frameworks that promote sustainable development, will be crucial to advancing environmental sustainability while achieving economic growth. ","This study examines the impact of green finance, green energy, and green economic development on sustainability across G-20 nations, finding significant relationships between sustainability, GDP, and technological innovation, with technological innovation having a positive effect on sustainability."
"Sustainability Through Transparency and Definitions: A Few Thoughts on Regulation (EU) 2019/2088 and Regulation (EU) 2020/852","https://scispace.com/paper/sustainability-through-transparency-and-definitions-a-few-541vaylf6iw6","","","","C. H. A. (chris) Van Oostrum","10.54648/eucl2021003","","Against the background of the EU policy goal to reorient capital flows towards sustainable investment, this article will review the extent to which Regulation (EU) 2019/2088 (Disclosure Regulation) and Regulation (EU) 2020/852 (Taxonomy Regulation) are effective in terms of increasing investor confidence to invest in sustainable economic activities. In this respect, particular focus will be on the relationship between the disclosure obligations and the terminology ensuing from the two regulations. Disclosure Regulation, Taxonomy Regulation, Sustainable Finance, Transparency, ESG, Sustainable terminology, Green terminology, Sustainability","This article reviews the effectiveness of EU Regulations 2019/2088 and 2020/852 in increasing investor confidence in sustainable investments, focusing on the relationship between disclosure obligations and terminology, such as ESG and green terminology, in sustainable finance."
"The EU Sustainable Finance Agenda: Developing Governance for Double Materiality in Sustainability Metrics","https://scispace.com/paper/the-eu-sustainable-finance-agenda-developing-governance-for-25e7fxjr","2022","Journal Article","European Business Organization Law Review","Iris H-Y Chiu","10.1007/s40804-021-00229-9","","Abstract This article argues that the regulatory steers in the recent EU Sustainable Disclosure and Taxonomy Regulations rely heavily on the outworking of market-based governance to meet public interest goals in sustainable finance. Hence, additional work in sustainability metrics development that informs the investment sector of sustainable performance in companies would be of key importance. This article argues that there remain gaps in EU leadership for governing metrics development, and suggests that EU-level governance can be designed appropriately, especially in a multi-stakeholder manner, for metrics development and in relation to key information intermediaries in this space. ","In this paper , the authors argue that the regulatory steers in the recent EU Sustainable Disclosure and Taxonomy Regulations rely heavily on the outworking of market-based governance to meet public interest goals in sustainable finance."
"Finance “Blending” and NDC Achievement Under the Paris Agreement","https://scispace.com/paper/finance-blending-and-ndc-achievement-under-the-paris-41vmyejv66","2023","Journal Article","Journal of Climate Finance","Jon Strand","10.1016/j.jclimf.2023.100024","","Climate finance, funded by governments of high-income (H) countries, can be used to purchase assets in the international carbon market for offset trading, thus “blending” with such transactions. In this paper it is shows analytically that when there are no distortions in credit markets, finance blending leads to too little greenhouse gas (GHG) mitigation in H countries, and too much in L countries. The offset market is then distorted by climate finance blending, given that all offset credits are attributed to the carbon market participants. This distortion is removed when such “blended” climate finance resources are instead attributed in proportion to their finance shares. Adding climate finance to the carbon market has no impact on global GHG mitigation as long as the trading countries’ targets for emissions reductions (their “climate ambition”) is not changed; higher ambition levels are thus always required for climate finance to contribute to a reduction in global GHG emissions. When L country market participants have limited access to credit markets, blending can increase global greenhouse-gas mitigation by adding climate finance resources to the carbon market, thus facilitating L country market participants’ access to funding of their planned mitigation projects. ","Climate finance ""blending"" with international carbon markets distorts GHG mitigation efforts, leading to over-reliance on offset credits in low-income countries, but can increase global mitigation when low-income countries have limited access to credit markets."
"Towards Sustainable Accountability And Transparency In Public Sector: Case Study of Pusat Investasi Pemerintah With GRI Standards","https://scispace.com/paper/towards-sustainable-accountability-and-transparency-in-aj2u5tlg3jb5","2025","Journal Article","Journal Integration of Management Studies","Dini Salamah
Melia Famiola
Muhammad Yusuf","10.58229/jims.v3i3.402","","As a signatory to the United Nations' 2030 Sustainable Development Goals (SDGs), Indonesia mandates active governmental engagement in advancing sustainability. This study investigates the readiness of the Pusat Investasi Pemerintah (PIP)—a Public Service Agency under the Ministry of Finance—to institutionalize Environmental, Social, and Governance (ESG) principles and align its sustainability reporting with the Global Reporting Initiative (GRI) Universal Standards 2021. Employing a qualitative approach, the research applies gap analysis to evaluate PIP's existing practices against 30 GRI 2 metrics. Data collection involved semi-structured interviews with 11 key management figures and document analysis of internal reports and regulatory frameworks. Findings reveal that 73.3% of GRI indicators are inherently fulfilled through operational activities; critical gaps persist in governance formalization, including the absence of dedicated sustainability structures, vague impact accountability, limited board-level oversight, and insufficient disclosure of compensation ratios. The study proposes a three-phase strategic roadmap to address these deficiencies. Despite its single-case limitation, the research offers a replicable framework for integrating ESG standards in public financial institutions, contributing to enhanced transparency, institutional accountability, and alignment with global sustainability imperatives. ","This study assesses Pusat Investasi Pemerintah's readiness to adopt GRI standards, revealing 73.3% inherent fulfillment but critical gaps in governance formalization, accountability, and disclosure, proposing a three-phase roadmap for improvement."
"Selected Studies in Economic and Environmental Accountabilities—Section Two","https://scispace.com/paper/selected-studies-in-economic-and-environmental-k6cqjt8edc","2019","Book Chapter","","Beth Edmondson
Stuart Levy","10.1007/978-3-319-97400-2_7","","Examinations of climate change governance approaches firmly establish the importance of accountability for achieving both good environmental outcomes and enduring societies. The studies presented here focus on opportunities to progress climate governance including experimental approaches to overcome stall-points or other limits to progress. These studies suggest that more accountable climate governance mechanisms are better able to avoid the limits of spiralling risk avoidance approaches and also more likely to pursue more flexible approaches that emphasise the benefits of change. They consider shared visions of sovereign states offering valuable normative contributions in balanced assessments of the risks arising from climate change.","In this paper, the authors focus on opportunities to progress climate governance including experimental approaches to overcome stall-points or other limits to progress, and suggest that more accountable climate governance mechanisms are better able to avoid the limits of spiralling risk avoidance approaches and also more likely to pursue more flexible approaches that emphasise the benefits of change."
"The Role of Accounting Practices in Advancing the Agenda of Green Finance and Impact Investing","https://scispace.com/paper/the-role-of-accounting-practices-in-advancing-the-agenda-of-3xh2b05l1h","2024","Journal Article","Advances In Applied Accounting Research","Nuh. Saneraro Fakdawer","10.60079/aaar.v2i2.168","","This study investigates the role of accounting practices, including Environmental Management Accounting (EMA), social accounting methodologies, and integrated reporting frameworks, in promoting sustainability and responsible investment practices. The research aims to assess the transformative potential of these accounting practices in driving environmentally responsible decision-making, fostering resource efficiency, and enhancing stakeholder engagement. A comprehensive literature review methodology is employed to analyze existing studies and synthesize key findings on the topic. Through an examination of empirical research and theoretical frameworks, the study explores the implications of accounting practices for corporate performance, stakeholder relations, and long-term value creation. The findings highlight the importance of standardized methodologies, data quality, and interdisciplinary collaboration in advancing environmental and social impact measurement and reporting. Moreover, the study identifies opportunities and challenges associated with emerging technologies such as blockchain and artificial intelligence in enhancing impact measurement and reporting practices. Overall, the research contributes to the understanding of how accounting practices can drive sustainable development and responsible investment in an increasingly interconnected and socially conscious world. ","Accounting practices play a pivotal role in advancing green finance and impact investing by promoting sustainability and responsible investment practices. They include Environmental Management Accounting (EMA), social accounting methodologies, and integrated reporting frameworks. These practices drive environmentally responsible decision-making, foster resource efficiency, and enhance stakeholder engagement."
"Green Finance and Accounting: Accounting and Reporting of Environmentally Friendly Financial Products","https://scispace.com/paper/green-finance-and-accounting-accounting-and-reporting-of-3epfw1lj4hw7","2024","Journal Article","","Mehmet Ali Yüzbaşıoğlu","10.71097/ijsat.v15.i4.1392","","This paper delves deeply into the critical intersection of green finance and accounting, focusing on the intricate mechanisms for effective accounting and reporting of environmentally friendly financial products. As the pressing issues of climate change and environmental degradation continue to present significant global challenges, financial institutions are increasingly acknowledging the urgent necessity of integrating sustainability into their everyday practices. The study highlights the noteworthy emergence of green finance in direct response to these persistent issues, detailing various innovative financial products that have been specifically tailored to support a wide range of environmental initiatives, such as green bonds, sustainable investment funds, and eco-friendly loans designed to promote ecological sustainability. Additionally, it closely examines the essential accounting standards and comprehensive reporting frameworks that are crucial for ensuring transparency and accountability for these impactful products, including the vital roles played by regulatory bodies and international guidelines that govern these practices. By meticulously analyzing a variety of case studies and identifying best practices in the sector, this research aims to offer valuable insights into how effective accounting and thorough reporting can significantly enhance the credibility of green financial products, thereby stimulating greater investment in sustainability initiatives. Ultimately, this could lead to the promotion of a more sustainable and resilient economy capable of addressing the challenges of the future. ","This study explores green finance and accounting, focusing on environmentally friendly financial products, such as green bonds and eco-friendly loans, and examines accounting standards and reporting frameworks for transparency and accountability in sustainability initiatives."
"The Evolution of Sustainable Investment: The Role of Decentralised Finance and Green Bonds in the Efficiency and Transparency of Green Finance","https://scispace.com/paper/the-evolution-of-sustainable-investment-the-role-of-t0o7yj3xo969","2025","Journal Article","","Natália Teixeira","10.47852/bonviewfsi52024817","","Green finance is a cornerstone of sustainable investment, but it highlights the critical importance of transparency, traceability and financial efficiency within an environmental, social and governance (ESG) framework. This review article examines the potential of green finance as a pillar for accelerating investment in sustainable pathways, particularly using green bonds and the innovative mechanisms offered by decentralised finance (DeFi). Green bonds are highlighted as a key instrument for channelling capital towards green projects, while DeFi is explored as an innovative tool with the potential to democratise access to finance and enable micro-investments in sustainability projects with a relevant social impact. This article examines both mechanisms in terms of their ability to increase the efficiency and reliability of green finance ecosystems. The analysis also explores emerging challenges such as regulatory constraints, the threat of greenwashing, and technological limitations associated with the implementation of blockchain and artificial intelligence. By addressing these barriers, the article provides strategic recommendations for achieving greater transparency and reliability in green finance markets, thereby fostering investor confidence and broader market growth. It also identifies research gaps and proposes new avenues to advance the integration of sustainable finance, ensuring its scalability and inclusion in the promotion of global sustainability. ","This review article examines the potential of green finance to accelerate sustainable investment, highlighting green bonds and decentralised finance (DeFi) as key instruments for increasing efficiency and transparency in green finance ecosystems, while addressing emerging challenges and regulatory constraints."
"Enhancing Alignment of Incentivesfor Diverse Mitigation Activities within the Paris Agreement's Article 6.4 Mechanism","https://scispace.com/paper/enhancing-alignment-of-incentivesfor-diverse-mitigation-1unx342hgj","2024","Preprint","","Shaikh Mahfuzur Rahman
Sherihan Mohammed Elkundi Osman","10.2139/ssrn.4692995","","This article examines the incentive structure of the Article 6.4 mechanism of the Paris Agreement, revealing an inherent asymmetry. A pragmatic approach is proposed to harmonize incentives across diverse mitigation activities to address this disparity. Leveraging project-level data from a prototype, the levelized emissions reduction costs for various technologies are estimated. Through a thorough examination of cost distributions, relative weights for emissions reduction by distinct project types are derived. Employed machine learning technique proves robust yet adaptable for adjustments. Results highlight substantial variations in mitigation costs across technologies, with project performance demonstrating a negative correlation to costs. This suggests the market mechanism falls short of providing equitable incentives for essential yet costly mitigation activities. While subsidies are a conventional remedy, the estimated relative weights provide a practical basis for formulating a subsidy system, thereby aligning the incentives across various mitigation activities and achieving the sustainable development goal. ","The Article 6.4 mechanism of the Paris Agreement exhibits an inherent asymmetry in incentives. This article proposes a pragmatic approach to harmonize incentives across diverse mitigation activities, highlighting substantial variations in mitigation costs across technologies and the need for subsidies."
"Introducing Climate Impact Accounting for Investment Portfolios. A Comparative Study on the Existing Methodologies.","https://scispace.com/paper/introducing-climate-impact-accounting-for-investment-9p3zul2x9feh","","","","Ekaterina Ponomareva Reshetnikova","10.54695/bmi.166.6713","","This study provides an overarching state-of-the-art review of climate change-related accounting practices for investment portfolios. With the adoption of the Paris Agreement and European Commission plan on sustainable finance, the question regarding the compatibility of financial flows with decarbonisation objectives has gained cardinal importance among capital market participants. The application of a viable climate-alignment framework has become inevitable for legislators, regulators, investors, issuers, and rating agencies. Carbon footprinting and intensity measurement associated with portfolio investments and its climate impact are central issues for climate performance and risk assessment, management, reporting and GHG emissions reduction target setting. This study evidences the absence of a consensual method and a notable variation in the results attained for the same portfolio across different approaches. This study focused on practices related to listed assets, namely on the attribution of climate impact generated by issuers to portfolios and investors. The findings offer a comparative study of the existing methodologies and introduce portfolio climate impact accounting concept and structure.","This study reviews climate change accounting practices for investment portfolios, highlighting the need for a climate-alignment framework and a comparative analysis of existing methodologies to measure carbon footprint and intensity, and assess climate performance and risk."
