"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Developing Countries in the Lead: A Bibliometric Approach to Green Finance","https://scispace.com/paper/developing-countries-in-the-lead-a-bibliometric-approach-to-28bh4686","2022","Journal Article","Energies","Goshu Desalegn
Anita Tangl","10.3390/en15124436","","In recent years, green finance has become a popular method for dealing with environmental issues. However, it remains to be seen whether green financing is effective in addressing current global environmental issues. In this article, we, therefore, analyze the diffusion patterns of green finance publications in the Global South and Global North to identify which section of the globe is under-researched from this perspective. The study tried to highlight the overall trends of research publications on green finance, continent, most contributing authors, countries, and journals. The study used a bibliometric approach with the help of R studio software. The Scopus database was used for extracting the resources and 522 documents utilized in this bibliometric analysis. The result demonstrates that the diffusion of green finance is more common in the Global North than in the Global South. However, the number of scientific studies produced over time, the number of active authors, and affiliations of the Global South have contributed more than the Global North. More specifically, at the continental level, Asia and the Pacific are playing a lion’s share in providing scientific research publications on the green-finance-related issue. Meanwhile, the Arab states and Africa are the lowest contributing continent. China has the highest number of publications worldwide. However, this reality may be different if another approach (per capita contribution) is used to investigate the issue of green finance. Hence, we call for future studies to consider this fact in investigating the issue of green finance across the world. Furthermore, the study proposes further studies to be conducted on what are the factors that drive the Global South to lead. Finally, it is also better if the future studies take into account the status of each country in terms of green finance mobilization and capital contribution to share the specific experience of that country and lessons taken from that country.","In this article , the authors analyzed the diffusion patterns of green finance publications in the Global South and Global North to identify which section of the globe is under-researched from this perspective."
"Exploring Potential Data Sources for Estimating Private Climate Finance","https://scispace.com/paper/exploring-potential-data-sources-for-estimating-private-3j3xun6lv3","2014","Report Series","Research Papers in Economics","Randy Caruso
Raphaël Jachnik","10.1787/5JZ15QWZ4HS1-EN","","The paper reviews a number of commercial and public data sources to examine their potential for
increasing coverage and understanding of the volume and characteristics of private climate finance beyond
renewable energy projects. Such information is needed to assess progress towards the global transition to
low-carbon, climate-resilient economies, as well towards the fulfilment of international commitments by
developed countries under the United Nations Framework Convention on Climate Change.
The data sources investigated in this analysis are evaluated across four areas relating to their: (i) use
of sectoral classification systems; (ii) coverage of private finance transactions and instruments;
(iii) definitions and methods for categorising finance as private and identifying its geographic origin; and
(iv) data access restrictions and methodological transparency. To provide a frame of reference, the paper
distils corresponding definitions and methodologies used by key known data sources for tracking climatespecific
finance as well as investments and finance more broadly...","In this article, a number of commercial and public data sources are reviewed to examine their potential for increasing coverage and understanding of the volume and characteristics of private climate finance beyond renewable energy projects."
"Discourses on transformational change and paradigm shift in the Green Climate Fund: the divide over financialization and country ownership","https://scispace.com/paper/discourses-on-transformational-change-and-paradigm-shift-in-1hj4uleel5","2021","Journal Article","Environmental Politics","Jonas Bertilsson
Håkan Thörn","10.1080/09644016.2020.1775446","","The Green Climate Fund (GCF) provides climate finance to both adaptation and mitigation projects. Since its establishment in 2010 it has been committed to country ownership and the needs of recipie...","The Green Climate Fund (GCF) as discussed by the authors provides climate finance to both adaptation and mitigation projects, since its establishment in 2010 it has been committed to country ownership and the needs of recipie..."
"Transparency and Corruption Prevention in Financing Climate Action","https://scispace.com/paper/transparency-and-corruption-prevention-in-financing-climate-gz9weu7v","2023","Journal Article","Financial markets, institutions and risks","Victoria Bozhenko
Anna Buriak","10.21272/fmir.7(2).88-94.2023","","The article summarises the arguments and counter-arguments within the scientific debate on enchancing the climate finance transparency. The main purpose of this study is to investigate the mechanism of climate finance and identify the key challenges that hinder the effective climate fund monitoring system. The relevance of addressing this research problem is due to the fact that the largest recipients of international climate finance are countries with high corruption risks, low standards in protection human rights, low trust in law enforcement and judicial authorities, etc. Therefore, the reporting and the quality of the reports prepared on the funds received under international assistance programmes is an important component of establishing long-term relations and trust between donor-countries or receipient-countries. The article examines the issue of climate finance transparency in the following logical sequence: analysed scientific publications on the issues of transparency and corruption in climate finance, examined the institutional mechanism of global climate finance, analysed the scale of climate finance in the world, and identified the main challenges in improving the transparency and efficiency of climate funds. The study was conducted using empirical (observation, description) and theoretical (grouping, synthesis, abstraction) research methods. The paper substantiates that the strengheting transparency of climate finance in developing countries requires a comprehensive approach - on the one hand, improving the level of justice, judiciary, enchancing the work of local regulatory authorities, developing legislation in recipient countries of international financial assistance, and on the other hand, improving the methodology of integrated accounting and reporting on the receipt and use of climate funds, as well as tracking the effects of project implementation. The study found that the key challenges that hinder the formation of an effective climate funds monitoring system are: a data collection and reporting system, an accounting and reporting system, and a coordination system.","In this article , the authors investigate the mechanism of climate finance and identify the key challenges that hinder the effective climate fund monitoring system, which is an important component of establishing long-term relations and trust between donorcountries or receipient-countries."
"Multilateral climate change financing in the developing world: challenges and opportunities for Africa","https://scispace.com/paper/multilateral-climate-change-financing-in-the-developing-lro49sb1","2022","Journal Article","International Journal of Research In Business and Social Science","Shingirai Stanley Mugambiwa
Motshidisi Mabel. Kwakwa","10.20525/ijrbs.v11i9.2085","","The Paris Agreement has highlighted the worldwide significance of adaptation. Many investors are considering the effects of climate change and resource scarcity when making decisions. Even while the whole amount of the environmental harm caused by climate change is yet unknown, recent scientific evidence is more frightening, and many governments are taking substantial measures to avert a calamity. The financial innovations and mechanisms created to ease the transition to a low-carbon economy will have far-reaching effects on markets, firms, intermediaries, and investors. Although economists have been working on the subject for decades, financial-economics professionals have only recently become interested in climate change. There has been a growing body of empirical and theoretical contributions in recent years that analyse the influence of climate risks on investment decisions for firms, financial intermediaries, and national governments, as well as the pricing and hedging of climate change risks. This study seeks to establish the role of multilateral climate change financing in the developing world vis-à-vis challenges and opportunities for Africa. Five determinants of the multilateral climate fund were established and they are namely; Reduction of Greenhouse gas emissions, Enabling Environments, Poverty and development linkages, Private investment and Public climate finance.","In this article , the role of multilateral climate change financing in the developing world vis-à-vis challenges and opportunities for Africa is investigated and five determinants of the multilateral fund were established and they are namely; Reduction of Greenhouse gas emissions, Enabling Environments, Poverty and development linkages, Private investment and Public climate finance."
"Private finance for adaptation: do private realities meet public ambitions?","https://scispace.com/paper/private-finance-for-adaptation-do-private-realities-meet-16yfookmze","2016","Journal Article","Climatic Change","W.P. Pauw
W.P. Pauw
W.P. Pauw
Richard J. T. Klein
Pier Vellinga
Frank Biermann","10.1007/S10584-015-1539-3","","The private sector’s role in climate finance is increasingly subject to political and scientific debate. Yet there is poor empirical evidence of private engagement in adaptation and its potential contribution to the industrialised countries’ mobilisation of USD 100 billion of annual climate finance from 2020 onwards to support developing countries to address climate change. This paper analysed 101 case studies of private sector adaptation under the Private Sector Initiative (PSI) of the UNFCCC Nairobi work programme, and examined these against ten ‘adaptation finance criteria’ that were distilled from UN climate negotiation outcomes. Results show that private adaptation interventions complement public adaptation activities. Yet the ten adaptation finance criteria are not met, which demonstrates that the diplomatic UNFCCC conceptualisation of financing adaptation is dissonant from the private sector reality. For example, while the case studies’ investments are ‘new and additional’ to Official Development Assistance (ODA), their ‘predictability’ remains unclear. And despite some commitment for ‘up-scaling’, plans and associated costs for doing so remain undisclosed. Developed countries’ role in ‘mobilising’ private financial resources under the PSI seems limited. It is unrealistic to expect that the UNFCCC alters existing criteria to suit private initiatives, or that the private sector aligns its initiatives to meet existing criteria. This paper advocates monitoring and reporting only of those private investments that principally finance adaptation. This practical way forward would allow private finance to meet criteria such as predictability, transparency, and mobilisation, but would drastically reduce the amount of private investment that could contribute to reaching the USD 100 billion climate finance target.","This paper analyzed 101 case studies of private sector adaptation under the Private Sector Initiative (PSI) of the UNFCCC Nairobi work programme, and examined these against ten adaptation finance criteria that were distilled from UN climate negotiation outcomes."
"Evolution of green finance and its enablers: A bibliometric analysis","https://scispace.com/paper/evolution-of-green-finance-and-its-enablers-a-bibliometric-3lu75juw","2022","Journal Article","Renewable & Sustainable Energy Reviews","S.C. Bhatnagar
Dinesh K. Sharma","10.1016/j.rser.2022.112405","","The concept of “Green Finance” (GF) has evolved over a period of time in accordance with the aspirations of the economies. Growing global concern towards environment protection, climate change mitigation and adaptation has directed the attention of academic researchers and policymakers towards GF, which is an initiative of economies for innovative and sustainable transition on their financial systems. The present study aims to conduct a bibliometric analysis for exploring the growth and academic evolution of GF concept. The academic literature is surveyed from the Scopus database during the period 1997–2021 (February). The intellectual structure and bibliographic analysis of the selected articles is done using VoS Viewer and Bibliometrix R Package. Several inclusion and exclusion criteria is applied to ensure precision in the results obtained. The study has also attempted to identify the enablers of GF by reviewing articles published during the period 2018–2021(February). The identified enablers are classified into 10 broad parameters namely; macroeconomic enablers, development of regulatory structure, making investment environment conducive, capacity building, increase in the levels and forms institutional engagement, technology and technological advancements, financial instruments, financial policies and regulations, well-developed capital market and supportive political environment. This study is one of the preliminary attempts to study the growth and evolution of GF and its enablers. It thus contributes to the literature on GF and provides scope of further research in the given field. ","In this paper , a bibliometric analysis for exploring the growth and academic evolution of green finance concept is presented, which is an initiative of economies for innovative and sustainable transition on their financial systems."
"A Review of Sustainable Green Finance Literature: Mini-Review Approach","https://scispace.com/paper/a-review-of-sustainable-green-finance-literature-mini-review-2ibtuuv3ds","2021","Proceedings Article","Proceedings of the International Conference on Industrial Engineering and Operations Management","Fathihani Fathihani
Jumadil Saputra
Mohd Hassan Che Haat
M.-Y. Yusliza
Zikri Muhammad
Abdul Talib Bon","10.46254/an11.20210573","","Green finance is one form of transformation system on the basis of the two-way relations between the environment and finance and investment. In term of green, the whole humans' activities should be considering the environment-friendly projects and efficient use of resources. In line with the 2030 plan, the financial and related financial activities, including investment, must be shifted from carbon and intensive resources to sustainable finance. It means that green finance is closely connected to the economy in nature. Today, the world economy is facing the global economic challenges, i.e., sustainable green finance, because it requires adequate funding. Of these, the government agencies and financial institutions must provide the funding to support sustainable green finance implementation. The present paper seeks to provide an understanding of the sustainable green finance literature that has collected from the various relevant sources. This study designed using a qualitative approach through review literature. Reviews on green and sustainable finance were conducted by reading and analysing 30 peer-reviewed journal articles and summarised in two tables, namely article journal and publisher distribution and article category on the basis of the subject. This study's findings are that the government should maintain economic stability by considering environmental problems and climate change. The transformation system of sustainable green finance is categorised as the high level of complexity and uncertainty. There are several obstacles in implementing a green financial system, such as government readiness to increase the country's resilience to unstable social and economic conditions and changing a paradigm of business actors to focus on green financing. In conclusion, this study found that the government plays a crucial role in ensuring green finance in entirely business sectors (industry and non-industry) and accelerating the transition period by creating conducive economic conditions.","The government plays a crucial role in ensuring green finance implementation and accelerating the transition period to sustainable green finance by creating conducive economic conditions."
"Beyond promises: Realities of climate finance justice and energy transitions in Asia and the Pacific","https://scispace.com/paper/beyond-promises-realities-of-climate-finance-justice-and-12ia0y8v","2022","Journal Article","","Kirsty Anantharajah
Abidah B. Setyowati","10.1016/j.erss.2022.102550","","Climate change is already having substantial adverse impacts across the globe, and these are projected to worsen dramatically in years to come without rapid and far-reaching measures to transition to low carbon development. Crucially, massive financial investment will be necessary to fast track a low carbon transition and the level of finance required will arguably be well beyond the resources and capability of public finance alone. With a focus on climate finance in Asia and the Pacific and drawing empirical evidence from our work in Fiji and Indonesia, this article investigates complex realities of climate finance as it flows to the recipient countries. This article reveals how existing structures and power relations impact the outcomes of financing transitions to low carbon energy. The findings suggest that climate finance flows primarily to the most bankable, lowest risk, highest return, and often the largest scale projects. Moreover, the prioritisation of large-scale projects tends to result in preference for on-grid as opposed to off-grid renewable infrastructures, the reinforcement of technological preferences of powerful stakeholders, and the exclusion of smaller projects and developers. Consequently, it could exacerbate rather than ameliorate existing inequalities with the most vulnerable groups gaining little if any benefits from such finance. This article concludes by highlighting the importance of designing climate finance governance and financial products that could mitigate multi-scalar inequalities and design the mechanisms that internalise the need for critical, intersectional co-benefit delivery. ","In this article , the authors investigate how existing structures and power relations impact the outcomes of financing transitions to low-carbon energy and highlight the importance of designing climate finance governance and financial products that could mitigate multi-scalar inequalities and design the mechanisms that internalise the need for critical, intersectional co-benefit delivery."
"Methodological approaches to research and formation of institutional support for climate financing","https://scispace.com/paper/methodological-approaches-to-research-and-formation-of-3h6smmesrbdh","2024","Journal Article","Fìnansi Ukraïni","Olena Shcherbakova","10.33763/finukr2024.08.091","","Introduction. At the core of any scientific research lies the process of cognition, which necessitates clarification of the conceptual approach in accordance with the chosen methodology. The desired outcomes are determined not only by the initial theoretical stance of the researcher but also by a well-founded formulation of the problem and a specification of the directions for scientific inquiry. Thus, proper scientific cognition and the selection of specific general and special methods require an adequate theoretical and practical understanding of reality, necessitating a sophisticated methodology for scientific research. Problem Statement. Preventing, countering, and adapting to the negative impacts of climate change for the socio-economic development of countries and the deterioration of the environment require the establishment of effective institutional support for climate financing, aimed at mitigating these issues. To implement such measures through climate financing, a well-grounded methodology is essential for both research and the formation of institutional support for climate financial flows. Purpose. To define methodological approaches to the study and formation of institutional support for climate financing. Methods. A systemic approach was applied, along with monographic, historical, economic-statistical methods, and methods of comparative and expert analysis. Results. The significance of the methodology of scientific cognition has been established. Methodological approaches to the study and formation of institutional support for climate financing have been outlined, along with their components and the methodological arsenal for addressing the identified issues. Conclusions. To conduct a comprehensive study and establish institutional support for climate financing, advanced methodological approaches are required. These will enable a thorough understanding of the essence, varieties, functions, components, and instruments of such financing, facilitating the development of adequate institutional support to enhance the effectiveness of prevention, counteraction, and mitigation of the negative impacts of climate change and adaptation to these changes. ","This study outlines methodological approaches for researching and establishing institutional support for climate financing, emphasizing the significance of a well-grounded methodology to mitigate climate change impacts and facilitate socio-economic development through effective climate financial flows."
