"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Performativity in the Green Economy: how far does climate finance create a fictive economy?","https://scispace.com/paper/performativity-in-the-green-economy-how-far-does-climate-iitjxjwn79","2015","Journal Article","Third World Quarterly","Sarah Bracking","10.1080/01436597.2015.1086263","https://drive.google.com/file/d/1vxxd8G74bUNGeL6ZBYX9LoEDthO3xOsC/view","… in the wider political economy of climate finance, it … performativity and spectacle to the Green Economy assemblage. The theoretical question which arises is how far does performativity …","This paper asks how far performativity in the Green Economy generates material or virtual assets. It examines the relationship between assets and their financial derivatives, asking how far the value of ‘carbon’ or ‘green’ can be directly attributed to its social and narrative construction. The paper draws on two case studies – one of the Clean Development Mechanism (CDM) in South Africa, the other of the global private green bonds market – to show that both public and private climate finance can generate virtual economic activity co-produced by processes of social valuation and accumulation proper. How reliant is the Green Economy on actual economic activity?"
"The anti‐politics of climate finance: the creation and performativity of the green climate fund","https://scispace.com/paper/the-anti-politics-of-climate-finance-the-creation-and-38tpc1vcox","2015","Journal Article","Antipode","Sarah Bracking
Sarah Bracking","10.1111/ANTI.12123","https://kclpure.kcl.ac.uk/portal/files/103666861/anti12123_1_.pdf","… scaling up and paradigm shift in global climate finance. However, civil society engagement … non‐)performativity, which may be generating an anti‐politics in environmental governance. …","This paper is an empirical case study of the institutional design process of the Green Climate Fund (GCF) of the United Nations Framework Convention on Climate Change from December 2011 to May 2014 Powerful countries, corporations and banks have favoured a deepening of neoliberal environmental governance, while civil society actors have argued over retaining movement concepts, won small representational victories, while participating in a process that has subjected them to a deepened practise of advanced liberal governance The process has thus far produced ?non-outcomes? that fail to meet hopes that the GCF could provide a significant scaling up and paradigm shift in global climate finance However, civil society engagement appears to be, somewhat inadvertently, exposing the ?overflows?, limits and contradictions inherent in advanced liberal governance The impasse created has prompted alternative governmentalities to emerge, not least of spectacle and (non-)performativity, which may be generating an anti-politics in environmental governance"
"Climate finance governance: Fit for purpose?","https://scispace.com/paper/climate-finance-governance-fit-for-purpose-29klyrv433","2021","Journal Article","Wiley Interdisciplinary Reviews: Climate Change","Sarah Bracking
Benjamin Leffel","10.1002/WCC.709","https://wires.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/wcc.709?utm_source=substack&utm_medium=email","… However, the expansion of climate finance into market‐inflected forms of blended … of climate finance. We suggest that further research is needed on polycentric systems in climate finance…",""
"Demanding development: The political economy of climate finance and overseas investments from China","https://scispace.com/paper/demanding-development-the-political-economy-of-climate-39pah3mx","2022","Journal Article","Energy research and social science","Rishikesh Ram Bhandary
Kelly Sims Gallagher
Amy Myers Jaffe
Zdenka Myslikova
Fang Zhang
Maria Petrova
Angeles Barrionuevo
Guillaume Fontaine
Jose Luis Rojas Fuentes
Patrick Karani
Daniel Centelles Martínez
Likeleli Seitlheko
Daniela Staicu
Najeeb Ullah
Abay Yimere","10.1016/j.erss.2022.102816","","This paper examines the drivers of Chinese overseas financing in renewable energy and the political economy factors in recipient countries that steer this finance towards climate-…","This paper examines the drivers of Chinese overseas financing in renewable energy and the political economy factors in recipient countries that steer this finance towards climate-friendly projects. We examine utility-scale renewable energy projects in Argentina, Bulgaria, Chile, Ecuador, Ethiopia, Kenya, Lesotho, Pakistan, and Romania. Through in-depth interviews with policymakers and relevant stakeholders, we gathered data on the factors that led to Chinese policy bank investment in renewables. We find that where host country governments have offered strong policy incentives for renewables, the Chinese banks and developers readily provided bundled financing, technology, and construction services even in markets considered to be risky. Additional risk mitigation instruments were utilized by the Chinese policy banks in some cases. In five of the nine countries studied, political agreements preceded the investments. Developing countries are found to value the bundled nature of finance, technology, and construction services offered by China as well as the timeliness of construction. As governments move towards policies utilizing competitive price discovery mechanisms, such as reverse auctions where developers compete to submit the lowest bid, the Chinese policy bank appetite for low-carbon investments may wane. Potential future synergies between China's policy banks and other multilateral development banks are explored. "
"Financialisation, climate finance, and the calculative challenges of managing environmental change","https://scispace.com/paper/financialisation-climate-finance-and-the-calculative-2a5ey1wkwf","2019","Journal Article","Antipode","Sarah Bracking","10.1111/ANTI.12510","https://kclpure.kcl.ac.uk/portal/files/103665902/Bracking_Antipode_22nd_November_2018.pdf","… a better understanding of climate finance. This article will review climate finance and its constituent … The second section reviews theories of financialisation in relation to climate finance …",""
"Beyond the powers of seduction: tracing bureaucratic agency in the making of global climate finance","https://scispace.com/paper/beyond-the-powers-of-seduction-tracing-bureaucratic-agency-61dwgaj8m2tm","2025","Journal Article","Critical Policy Studies","Hanna Hilbrandt","10.1080/19460171.2025.2467682","https://www.tandfonline.com/doi/pdf/10.1080/19460171.2025.2467682","This paper analyzes the modalities and relations of power in and through which mid-level practitioners operate in their working lives. I situate these theoretical concerns in a context of …",""
"Crisis capitalism and climate finance: The framing, monetizing, and orchestration of resilience-amidst-crisis","https://scispace.com/paper/crisis-capitalism-and-climate-finance-the-framing-monetizing-36o7hn4rxz","2021","Journal Article","Politics and Governance","Joshua Long","10.17645/PAG.V9I2.3739","https://www.cogitatiopress.com/politicsandgovernance/article/download/3739/2077","… ‘climate finance.’ For the purpose of this article, I use the definition of climate finance introduced … 4): “‘Climate finance’ typically refers to the financial resources paid to cover the costs of …","Throughout the development sector there has been a pronounced call for new funding mechanisms to address the climate crisis, and much of this is focused on attracting private sources of capital to fund ‘bankable’ projects in climate-vulnerable cities throughout the world. Enacted amidst a 21st century landscape of interlocking financial, epidemiological, and ecological crises, this call features an urgent narrative of ‘resilience-amidst-crisis’ that promotes large-scale, profitable investments as a form of green growth through debt-financing. The political orchestration and administration of new funding mechanisms (particularly green bonds and sustainable bonds) requires a new form of climate governance focused on the channeling of enormous sums of private capital through an assemblage of intermediaries toward profitable climate projects. This article interrogates this trend in climate finance, revealing that the framing, monetization, and orchestration of climate projects is dependent on a narrative of crisis capitalism deeply rooted in a colonial mindset of exploitation and profit. A key aim of this article is to deconstruct the contemporary dominance of crisis-oriented development and suggest the goal of decolonizing and democratizing the climate finance system."
"Climate finance: Taking a position on climate futures","https://scispace.com/paper/climate-finance-taking-a-position-on-climate-futures-5ohq159d1ao1","2024","Journal Article","The AAG review of books","Kendra Kintzi","10.1080/2325548x.2024.2418065","https://library.oapen.org/bitstream/handle/20.500.12657/88193/external_content.pdf?seque","… By examining these developments within the same analytical frame, we seek to bring climate finance into the realm of the political economy and geography of capitalist finance. We …",""
"The political economy of climate finance effectiveness in developing countries: carbon markets, climate funds, and the state","https://scispace.com/paper/CbsF2LayrncJ","","","","M Purdon","","","… climate finance instruments (Cui and Huang, 2018; Jinnah et al., 2009; Michaelowa, 2012). I define ""climate finance… A number of such climate finance instruments have been developed …",""
"Effective climate finance coordination? Stakeholder perceptions, climate change policy implementation and the underlying political economy factors in Kenya","https://scispace.com/paper/effective-climate-finance-coordination-stakeholder-hctocrfz39","2024","Journal Article","Climate Policy","Millicent Apiyo Omala
Eric Kioko
Marie Gravesen","10.1080/14693062.2024.2335914","","… by analyzing stakeholder perceptions of effective climate finance coordination in Kenya. … climate finance coordination, but challenges of coordination persist. Using the political economy …","The last two decades have seen an increase in climate financing channelled to the Global South from multiple sources, putting a spotlight on climate finance coordination challenges in recipient countries. However, the climate finance coordination debate has largely been centred at climate finance provision at the global level. Emerging literature has called on recipient countries to establish effective climate finance coordination mechanisms. Yet, the calls have not clarified what accounts for an effective coordination mechanism. This paper addresses the gap by analyzing stakeholder perceptions of effective climate finance coordination in Kenya. Kenya has instituted a legal and institutional framework to guide climate finance coordination, but challenges of coordination persist. Using the political economy framework, the paper analyzes political economy factors influencing stakeholder perceptions and climate change policy implementation to identify political contestations that need to be reconciled. Data is drawn from relevant literature, 29 key informant interviews and 4 focus group discussions at the national level in Nairobi and at the sub-national level in Turkana County. Deductive thematic analysis is adopted for coding and analyzing data. Results indicate that different ideologies, interests, incentives, politics, power relations and contestation over resources largely influence stakeholder perceptions of an effective climate finance coordination mechanism and climate policy implementation. The operationalization of the National Climate Change Council and the National Climate Change Fund are the most contested. The paper calls on policy actors to reconcile political issues of contention for recipient countries to institute coordination mechanisms that gain ownership and widespread legitimacy from stakeholders. "
"The future of climate finance research: a new materialist agenda","https://scispace.com/paper/the-future-of-climate-finance-research-a-new-materialist-53wxix6fzm","2024","Journal Article","","Jennifer Gippel","10.4337/9781803927008.00028","","… In this chapter, I use issues of climate finance to interrogate what specific … question, ‘what is climate finance research?’ I then ask the … Performativity in the Green Economy: how far does …",""
"Governing climate finance: Paradigms, participation and power in the Green Climate Fund","https://scispace.com/paper/iipeni65IUAJ","","","","JA Bruun","","https://research.manchester.ac.uk/files/184631124/FULL_TEXT.PDF","… contributed to the depoliticisation of climate finance. Through this work, this thesis contributes to debates about the implications of civil society participation in global climate finance. …",""
"Stretching scales? Risk and sociality in climate finance","https://scispace.com/paper/RPzJhIPGWWEJ","","","","B Christophers
P Bigger","","","… The quantification and pricing of this risk adheres to highly developed practices of the financial industry, relying on credit rating agencies, the pricing judgement of the underwriter, …",""
