"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Climate finance and disclosure for institutional investors: why transparency is not enough","https://scispace.com/paper/climate-finance-and-disclosure-for-institutional-investors-1z2tk6kr8n","2020","Journal Article","Climatic Change","Nadia Ameli
Paul Drummond
Alexander Bisaro
Michael Grubb
Hugues Chenet","10.1007/S10584-019-02542-2","https://link.springer.com/content/pdf/10.1007/s10584-019-02542-2.pdf","… We argue that whilst transparency can help, on its own it is a … to the challenges of ‘aligning institutional climate finance’. … that transparency can move large volumes of climate finance “…","The finance sector’s response to pressures around climate change has emphasized disclosure, notably through the recommendations of the Financial Stability Board’s Task Force on Climate-related Financial Disclosures (TCFD). The implicit assumption—that if risks are fully revealed, finance will respond rationally and in ways aligned with the public interest—is rooted in the “efficient market hypothesis” (EMH) applied to the finance sector and its perception of climate policy. For low carbon investment, particular hopes have been placed on the role of institutional investors, given the apparent matching of their assets and liabilities with the long timescales of climate change. We both explain theoretical frameworks (grounded in the “three domains”, namely satisficing, optimizing, and transforming) and use empirical evidence (from a survey of institutional investors), to show that the EMH is unsupported by either theory or evidence: it follows that transparency alone will be an inadequate response. To some extent, transparency can address behavioural biases (first domain characteristics), and improving pricing and market efficiency (second domain); however, the strategic (third domain) limitations of EMH are more serious. We argue that whilst transparency can help, on its own it is a very long way from an adequate response to the challenges of ‘aligning institutional climate finance’."
"The international climate finance accounting muddle: is there hope on the horizon?","https://scispace.com/paper/the-international-climate-finance-accounting-muddle-is-there-rux7bmcki6","2019","Journal Article","Climate and Development","Romain Weikmans
J. Timmons Roberts","10.1080/17565529.2017.1410087","https://www.tandfonline.com/doi/pdf/10.1080/17565529.2017.1410087","… climate finance figures. It examines how the lack of internationally agreed modalities to account for climate finance … Paris Agreement’s “enhanced transparency framework” could lead to …","The sources and governance of climate finance have been widely debated since the 2009 climate change summit in Copenhagen, when rich countries promised to provide US$ 30 billion in additional clima..."
"Is transparency furthering clarity in multilateral climate governance? The case of climate finance","https://scispace.com/paper/is-transparency-furthering-clarity-in-multilateral-climate-2ui01golpted","2024","Journal Article","International Environmental Agreements-politics Law and Economics","Robert Bergsvik
Aarti Gupta
Romain Weikmans
Ina Möller","10.1007/s10784-024-09652-y","https://link.springer.com/content/pdf/10.1007/s10784-024-09652-y.pdf","… of climate finance provided, … climate finance provided and received under the UNFCCC, a situation that seems likely to continue under the Paris Agreement’s enhanced transparency …",""
"Tracking climate finance: what and how?","https://scispace.com/paper/tracking-climate-finance-what-and-how-d8kcqjayra","2012","Posted Content","","Christa Clapp
Jane Ellis
Julia Benn
Jan Corfee-Morlot","","https://www.oecd-ilibrary.org/tracking-climate-finance_5k44xwtk9tvk.pdf","… For the purposes of this paper it is assumed that tracking will help in providing accountability and transparency to the climate finance flows related to financial and reporting …","Developed countries have committed under the international negotiations to jointly mobilising USD 100 billion per year by 2020 for climate change mitigation and adaptation in developing countries. Yet consistent and comprehensive data to track this commitment are currently lacking. Such data will also help governments and the private sector understand how much and what type of climate finance is flowing today, so as to be able to evaluate progress and effectiveness of international climate finance flows. Estimates based on available data are highly uncertain and incomplete, highlighting several challenges in establishing a robust tracking system. A more political question is what should be the internationally agreed definition of “climate finance” or, absent agreement on that, what types of flows or activities might count towards the USD 100 billion? On the more technical side, challenges include clearly defining flows and sources of international climate finance, determining the cause and effect of flows, and establishing the boundaries of finance flowing towards climate change action. This paper considers what data are currently available to track climate finance, and demonstrates the complex nature of financial flows through examples across international and domestic as well as public and private flows. The examples highlight questions on how to count and track climate finance. Les pays developpes se sont engages dans le cadre de negociations internationales a mobiliser ensemble 100 milliards de dollars par an d’ici a 2020 au service de l’attenuation du changement climatique et de l’adaptation a ses effets dans les pays en developpement. Cependant, des donnees coherentes et detaillees permettant de suivre l’application de cet engagement font aujourd’hui defaut. Ces informations aideraient aussi les pouvoirs publics et le secteur prive a connaitre le volume et la nature des financements actuellement consacres au domaine du climat, ce qui leur permettrait d’evaluer les progres et l’efficacite des flux internationaux de financement climatique. Les estimations etablies a partir des donnees disponibles sont tres incertaines et incompletes, d’ou il ressort plusieurs problemes auxquels se heurte la mise en place d’un solide systeme de suivi. Une question de caractere plus politique est celle de savoir en quels termes il convient de definir d’un commun accord a l’echelon international le « financement climatique » ou, a defaut d’accord sur cette definition, quels types de flux ou d’activites pourraient entrer en ligne de compte dans ces 100 milliards de dollars. Sous un angle plus technique, la difficulte consiste notamment a definir precisement les flux et les sources de financement climatique international, a mettre en evidence les causes et les effets des flux, ainsi qu’a determiner les limites du financement de l’action pour le climat. Ce rapport examine quelles donnees sont aujourd’hui disponibles pour assurer un suivi du financement climatique, et fait apparaitre la complexite des flux financiers au travers d’exemples de flux internationaux et interieurs, ainsi que publics et prives. Ces exemples mettent en relief les questions que soulevent les modalites de comptabilite et de suivi du financement climatique."
"Enhancing transparency of climate finance under the Paris Agreement: lessons from experience","https://scispace.com/paper/enhancing-transparency-of-climate-finance-under-the-paris-3wbqn548ip","2017","Report Series","","Jane Ellis
Sara Moarif","10.1787/469D7FEC-EN","https://www.academia.edu/download/71259232/db945d04ecc5d65a6acea78d32f46ff631ca.pdf","… This paper explores the issue of transparency of climate finance information in the context of climate finance … The transparency framework of the Paris Agreement covers only a subset of …","An enhanced transparency framework will be a central component of the post-2020 international climate policy regime under the Paris Agreement. This paper explores the issue of transparency of climate finance information in the context of climate finance goals under the United Nations’ Framework Convention on Climate Change (UNFCCC). The transparency framework of the Paris Agreement covers only a subset of climate finance, i.e. finance provided and mobilised by developed countries for developing countries, climate finance provided and mobilised by “other” countries for developing countries, as well as climate finance received by developing countries. This paper focuses on data collection, reporting and review of these elements, and explores how the transparency of information on climate finance provided and mobilised could be improved from current arrangements in order to meet the aims set out in the Paris Agreement."
"Definitions and accounting of climate finance: between divergence and constructive ambiguity","https://scispace.com/paper/definitions-and-accounting-of-climate-finance-between-2r4kki79","2022","Journal Article","Climate Policy","Igor Shishlov
Philipp Censkowsky","10.1080/14693062.2022.2080634","","… tracking organizations to achieve more coherence falls under its key mandate, the SCF does not have the resources nor (despite the MRV task mentioned above) a generally accepted …",""
"Establishing a measurement, reporting, and verification system for climate finance in post-Paris agreement period","https://scispace.com/paper/establishing-a-measurement-reporting-and-verification-system-o8op26hinq","2016","Journal Article","Chinese journal of population, resources and environment","Yinshuo Xu
Ziyuan Dong
Yao Wang","10.1080/10042857.2016.1258802","","… , and the progress of the MRV of climate finance based on reviews of the … climate finance regime and MRV. Following the analysis, challenges faced with the MRV of climate finance are …","The measurement, reporting, and verification (MRV) of climate finance was originated from discussions under the United Nations Framework Convention on Climate Change (UNFCCC). It has been one of th..."
"Transparency in climate finance after Paris: Towards a more effective climate governance framework","https://scispace.com/paper/transparency-in-climate-finance-after-paris-towards-a-more-1or7nd6b9f","2018","Book Chapter","","Felicity Deane
Evan Hamman","10.1007/978-981-13-2155-9_3","https://eprints.qut.edu.au/123975/15/33311117.pdf","… The MRV requirements are inherently linked to transparency in climate governance … of climate finance. In Part 4 of the chapter we discuss climate finance and transparency after Paris, …","The Paris Agreement charts a new course for measuring, reporting, verification (MRV) of State obligations with the intensification of the emphasis on the criterion of transparency. This is, in part, responsive to modern debates in regards to environmental law generally and climate law in particular. Transparency is crucial to the success or failure of climate mitigation and adaption regimes because climate governance is intimately connected to the ideals of deliberative democracy, public participation, and the rule of law. The Paris Agreement thus presents a ground-breaking and important point in time for both developed and developing States. Aligned with this requirement is the desire to increase the amount and flow of ‘climate finance’ from developed to developing states. The associated need for transparency in funding flows has been raised in part through the accusations of misused or inadequate funds, ‘tied’ funding and double counting. Though there are new informational requirements placed on states in the Paris Agreement, they also present considerable practical challenges. The purpose of this chapter is to analyse the principle of transparency in climate finance and to chart the direction of the associated informational requirements in light of the measures agreed at Paris."
"Greater transparency and better policy for climate finance","https://scispace.com/paper/greater-transparency-and-better-policy-for-climate-finance-5c41jqkjyh","2019","Posted Content","Financial Stability Review","Andreas Jobst
Ceyla Pazarbasioglu","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3406973","… institution) and client country engagements (via capacity building and infrastructure projects) to green the financial system against the background of an evolving climate finance …","Many developing countries face substantial challenges from climate change and need significant financial resources to fund essential mitigation and adaptation efforts. Mobilising more private sector resources requires balancing economic incentives and policy choices to encourage long-term investment in a financial system that prices the physical and transition risks from climate change adequately and allocates capital efficiently. Such a practice of finance would focus on strategic fundamentals and fully integrate sustainability considerations into its operations, including the full costing of positive and negative externalities under comprehensive disclosure. In this context, funding reliable, low-carbon infrastructure is an essential step toward addressing climate risks at scale and building resilient societies in developing countries to generate sustainable, long-term growth. This article explores how the World Bank Group supports the development of climate risk management and funding mechanisms through its own market operations (as financial institution) and client country engagements (via capacity building and infrastructure projects) to green the financial system against the background of an evolving climate finance paradigm."
"Transparency and corruption prevention in financing climate action","https://scispace.com/paper/transparency-and-corruption-prevention-in-financing-climate-gz9weu7v","2023","Journal Article","Financial markets, institutions and risks","Victoria Bozhenko
Anna Buriak","10.21272/fmir.7(2).88-94.2023","https://essuir.sumdu.edu.ua/bitstream/123456789/92290/1/Bozhenko_fmir_2_2023.pdf","… the scientific debate on enchancing the climate finance transparency. The main purpose of this study is to investigate the mechanism of climate finance and identify the key challenges …","The article summarises the arguments and counter-arguments within the scientific debate on enchancing the climate finance transparency. The main purpose of this study is to investigate the mechanism of climate finance and identify the key challenges that hinder the effective climate fund monitoring system. The relevance of addressing this research problem is due to the fact that the largest recipients of international climate finance are countries with high corruption risks, low standards in protection human rights, low trust in law enforcement and judicial authorities, etc. Therefore, the reporting and the quality of the reports prepared on the funds received under international assistance programmes is an important component of establishing long-term relations and trust between donor-countries or receipient-countries. The article examines the issue of climate finance transparency in the following logical sequence: analysed scientific publications on the issues of transparency and corruption in climate finance, examined the institutional mechanism of global climate finance, analysed the scale of climate finance in the world, and identified the main challenges in improving the transparency and efficiency of climate funds. The study was conducted using empirical (observation, description) and theoretical (grouping, synthesis, abstraction) research methods. The paper substantiates that the strengheting transparency of climate finance in developing countries requires a comprehensive approach - on the one hand, improving the level of justice, judiciary, enchancing the work of local regulatory authorities, developing legislation in recipient countries of international financial assistance, and on the other hand, improving the methodology of integrated accounting and reporting on the receipt and use of climate funds, as well as tracking the effects of project implementation. The study found that the key challenges that hinder the formation of an effective climate funds monitoring system are: a data collection and reporting system, an accounting and reporting system, and a coordination system."
