lang_original,lang_normalized,lang_detected,lang_final,changed
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
ar,ar,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
fr,fr,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,it,it,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,fr,fr,True
,,fr,fr,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
en,en,et,et,True
en,en,et,et,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
en_US,en,ru,ru,True
en_US,en,fr,fr,True
,,en,en,True
en,en,es,es,True
,,en,en,True
fr,fr,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
pl,pl,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,ro,ro,True
,,en,en,True
,,en,en,True
pt,pt,en,en,True
en,en,de,de,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
cs,cs,en,en,True
,,en,en,True
,,en,en,True
en,en,pt,pt,True
,,en,en,True
,,en,en,True
cs,cs,en,en,True
,,en,en,True
,,en,en,True
,,es,es,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
en,en,ar,ar,True
pt,pt,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,it,it,True
,,en,en,True
,,en,en,True
de,de,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
tr,tr,en,en,True
ms,ms,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
uk,uk,en,en,True
,,en,en,True
tr,tr,en,en,True
tr,tr,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
,,en,en,True
