year,js_w2,cos_w2,js_w3,cos_w3,js_w4,cos_w4,z_js_w2,z_js_w3,z_js_w4,z_cos_w2,z_cos_w3,z_cos_w4
2005,0.11228366223933871,0.052674472,0.06962798630878946,0.038484335,0.03119607459650218,0.030928016,2.224150072241609,1.1511563513949294,-0.06643837045234148,1.867303,1.1288425,0.6495155
2006,0.012630562601915186,0.03528136,0.015645026353643468,0.028982878,0.012185549646896924,0.02496308,-0.5033205225793241,-0.5274900756202179,-0.7347244031796091,0.8111979,0.49762836,0.23071717
2007,0.009095089405751794,0.024152815,0.013979533169564122,0.021246612,0.02820946098569771,0.0198583,-0.6000851913793698,-0.5792800142415135,-0.17142822036678185,0.13547558,-0.016318087,-0.12768969
2008,0.02009000579894699,0.016694784,0.03905093389036281,0.017233431,0.04375657247334145,0.017908275,-0.2991581628768586,0.20033668842174612,0.37510679031748134,-0.3173741,-0.28292733,-0.26460108
2009,0.027889872845833375,0.019364893,0.03822596563878647,0.019970179,0.032694429499063773,0.018311739,-0.08567852108650684,0.17468359327727465,-0.013765987332740691,-0.15524578,-0.101115905,-0.23627385
2010,0.042460568592558645,0.017362118,0.04389314503661579,0.01849854,0.054772817851910016,0.020832896,0.3131163416911614,0.35090939592545245,0.7623661079380898,-0.2768538,-0.19888186,-0.05926329
2011,0.036654548690053385,0.017315805,0.04719475515650627,0.019229174,0.04611973745900734,0.01817602,0.15420760112368512,0.4535757935397406,0.45818025394550393,-0.2796659,-0.15034339,-0.24580275
2012,0.018550039222718924,0.01652062,0.01919388673016102,0.017095506,0.01652076138082419,0.018419862,-0.34130651118665645,-0.417135219273573,-0.5823266414986982,-0.32794935,-0.29209018,-0.22868255
2013,0.01609864925562619,0.012598574,0.015047236965725684,0.01402086,0.021968735138105242,0.015370131,-0.40840019995309806,-0.5460788492067262,-0.39081142672651387,-0.5660949,-0.49634936,-0.4428043
2014,0.003619394697921715,0.012393594,0.007310613978539713,0.011269629,0.01583835478513699,0.014380157,-0.749953046530506,-0.7866557746919872,-0.606315605388314,-0.5785413,-0.67912304,-0.5123104
2015,0.013132519140485504,0.009815574,0.010703961927849543,0.012955129,0.01737924760921607,0.014202654,-0.4895821471167459,-0.6811367106121169,-0.5521478664651914,-0.735078,-0.5671495,-0.5247729
2016,0.011761431028106303,0.012197971,0.02132026087625663,0.012795687,0.026381856326586205,0.014884889,-0.52710835074743,-0.3510137919600912,-0.23567487690410482,-0.5904194,-0.5777418,-0.47687313
2017,0.019538532819632512,0.01266557,0.02594316631060417,0.013610601,0.037082764140823773,0.01704532,-0.31425178605959075,-0.20726058360982078,0.1404992292141764,-0.562027,-0.5236043,-0.32518926
2018,0.025819854696908055,0.016236663,0.03020028235804793,0.019218266,0.02997463107245571,0.018976152,-0.14233419614811038,-0.07488190988818662,-0.10937635607079643,-0.34519112,-0.15106802,-0.1896254
2019,0.024794489131479205,0.018174231,0.026899231352889644,0.017065406,0.02376231612040446,0.017990649,-0.17039809419869223,-0.17753092135046913,-0.3277608206957368,-0.22754249,-0.29408985,-0.2588176
2020,0.012866137497951796,0.011717677,0.014528546611476229,0.013445973,0.018206598040268945,0.015411258,-0.49687291980373954,-0.5622079705185538,-0.5230636229364507,-0.6195827,-0.5345411,-0.4399168
2021,0.0053907562646745046,0.012036622,0.0064038710061588774,0.013260841,0.008817782886439963,0.0144228935,-0.7014714980017354,-0.8148517248968832,-0.8531131111959691,-0.6002165,-0.54684,-0.5093099
2022,0.03032038306221769,0.023605168,0.02634574959063745,0.022345603,0.024112173498846125,0.021769702,-0.019156303817606322,-0.19474191132572566,-0.31546211773624816,0.10222256,0.056691587,0.0065099187
2023,0.14638907891548547,0.075702906,0.14804509662191226,0.07762396,0.13965463542421105,0.07801068,3.1576034364295174,3.589603634636723,3.7462570455342448,3.2655835,3.729021,3.9551916
