community,community_size,author_year,title,citations
0,5,Opoku (2021),Climate change and health preparedness in Africa: analysing trends in six Africa,115
0,5,nan (nan),nan,113
0,5,nan (nan),nan,112
0,5,nan (nan),nan,59
0,5,nan (nan),nan,53
1,40,Philipp Krueger (2019),The Importance of Climate Risks for Institutional Investors,112
1,40,Harrison Hong (2019),Climate Finance,105
1,40,Stefano Giglio (2021),Climate Finance,95
1,40,P Bolton (2021),nan,92
1,40,nan (nan),nan,89
2,45,Josué Banga (2018),The green bond market: a potential source of climate finance for developing coun,93
2,45,nan (nan),nan,72
2,45,Zhang (2019),"A bibliometric analysis on green finance: current status, development, and futur",71
2,45,nan (nan),nan,60
2,45,F Taghizadeh-Hesary (2019),nan,58
3,48,Romain Weikmans (2017),The international climate finance accounting muddle: is there hope on the horizo,86
3,48,E Campiglio (2018),nan,77
3,48,F Weiler (2018),nan,77
3,48,Keohane (2011),The Regime Complex for Climate Change,73
3,48,David Ciplet (2013),The Politics of International Climate Adaptation Funding: Justice and Divisions ,55
4,51,Rishikesh Ram Bhandary (2021),Climate finance policy in practice: a review of the evidence,85
4,51,Chi‐Chuan Lee (2022),The contribution of climate finance toward environmental sustainability: New glo,80
4,51,Sarah Bracking (2021),Climate finance governance: Fit for purpose?,53
4,51,J. Timmons Roberts (2021),Rebooting a failed promise of climate finance,50
4,51,nan (nan),nan,50
5,11,BW Griscom (2017),nan,45
5,11,W Steffen (2015),nan,35
5,11,Seddon (2020),Understanding the value and limits of nature-based solutions to climate change a,35
5,11,nan (nan),nan,32
5,11,J Rockström (2009),nan,31
