doi,title,year,axis_score,lex_score,eff_count,acc_count,pole_assignment
10.1186/s40854-024-00668-6,FinTech: a literature review of emerging financial technologies and applications,2025,0.3561911,0.04470450015442419,0,1,efficiency
10.1057/s41599-024-04319-0,"Does Artificial Intelligence (AI) enhance green economy efficiency? The role of green finance, trade openness, and R&amp;D investment",2025,0.18892482,0.08073815860836141,0,0,efficiency
10.1002/fsn3.70260,A Global Review of the Impacts of Climate Change and Variability on Agricultural Productivity and Farmers' Adaptation Strategies,2025,-0.081296936,-0.059585950305232796,0,0,accountability
10.3389/fenvs.2024.1513204,Innovations and barriers in sustainable and green finance for advancing sustainable development goals,2025,0.3172957,0.19837622189420234,3,0,efficiency
10.1002/ldr.5652,"Impact of Climate Policy Uncertainty on Agriculture Development: Multidimensional Analysis From Land Use, Food Structure, and Carbon Emissions",2025,-0.04859015,-0.005684391419787735,0,0,accountability
10.1057/s41267-024-00748-w,Leveraging the capabilities of multinational firms to address climate change: a finance perspective,2025,-0.17932875,0.07386598314262663,2,0,accountability
10.3389/fsufs.2024.1515207,Achieving agricultural sustainability: analyzing the impact of digital financial inclusion on agricultural green total factor productivity,2025,0.21846257,0.04796198778226172,0,0,efficiency
10.1007/s44270-024-00004-4,A mini review for hydrogen production routes toward carbon neutrality,2025,0.113441825,0.015751701218773673,0,0,efficiency
10.3390/world6020051,"The Adoption and Scaling of Climate-Smart Agriculture Innovation by Smallholder Farmers in South Africa: A Review of Institutional Mechanisms, Policy Frameworks and Market Dynamics",2025,0.003987115,0.0051753716453408725,0,0,efficiency
10.63335/j.hp.2025.0006,"The Energy Trilemma: An overview of balancing security, sustainability, and affordability",2025,0.10846871,0.033189479278178766,0,0,efficiency
10.1007/s10551-024-05917-3,"Fundraising, Governance and Environmental Ethics: Evidence from Equity Crowdfunding",2025,0.15904678,0.022296085905933863,0,1,efficiency
10.1016/j.dsef.2025.100048,Mapping the carbon finance research: A bibliometric exploration of innovation in sustainable finance,2025,0.14202684,0.042451922451638514,0,1,efficiency
10.1038/s41598-025-85127-7,Evaluating climate-related financial policies’ impact on decarbonization with machine learning methods,2025,0.10616797,0.038067739745566855,1,1,efficiency
10.1002/bse.4173,Green and Climate Finance for Sustainability: Hybrid Review and Framework Development,2025,0.17954858,0.12282220691179968,0,0,efficiency
10.12688/f1000research.160959.1,"Artificial Intelligence and Finance: A bibliometric review on the Trends, Influences, and Research Directions",2025,0.28882647,0.03702630107691387,0,0,efficiency
10.1007/s13280-025-02202-z,"Participatory approaches to climate adaptation, resilience, and mitigation: A systematic review",2025,-0.18859357,-0.041463814411604495,0,0,accountability
10.1007/s10693-024-00441-x,The EU Taxonomy and the Syndicated Loan Market,2025,0.042416655,0.0372541844180121,0,0,efficiency
10.1071/an24215,"Climate-smart approaches for enhancing livestock productivity, human nutrition, and livelihoods in low- and middle-income countries",2025,0.023243066,-0.05454683290857473,0,0,efficiency
10.2166/wcc.2025.741,A comprehensive review of climate change adaptation and disaster risk reduction in Africa,2025,-0.2088975,-0.037361129666411426,0,0,accountability
10.3389/fenvs.2024.1510120,The role of technological innovation and institutional quality in environmental and economic growth sustainability in emerging Asian countries,2025,0.1526952,0.05879024299206229,0,0,efficiency
10.3390/su17125447,From Risk to Resilience: Integrating Climate Adaptation and Disaster Reduction in the Pursuit of Sustainable Development,2025,-0.15620297,-0.028527762170848115,0,0,accountability
10.1007/s10668-024-05570-w,"Green finance development and its origin, motives, and barriers: an exploratory study",2025,0.5154375,0.11038342662468435,0,0,efficiency
10.1016/j.heliyon.2025.e42161,The evolution of green finance research: A comprehensive bibliometric analysis,2025,0.35877162,0.11742256294263369,0,0,efficiency
10.1186/s40854-024-00688-2,How does education promote green digital finance? Evidence from China,2025,0.45088488,0.06870835948786931,0,0,efficiency
10.1002/aesr.202500066,A Detailed Comprehensive Role of Digital Technologies in Green Finance Initiative for Net‐Zero Energy Transition,2025,0.4192208,0.10867684264184337,0,0,efficiency
10.1038/s44168-025-00252-3,Green and intelligent: the role of AI in the climate transition,2025,-0.05356582,0.003733180690622287,0,0,accountability
10.1093/rof/rfaf003,Do salient climatic risks affect shareholder voting?,2025,0.07444822,0.017455684368500753,0,0,efficiency
10.20517/cf.2025.07,Uncovering the evolution of the public climate finance policy mix for renewable energy in China,2025,0.08472602,0.06422931237875781,0,0,efficiency
10.3389/past.2025.14225,Climate change impacts and mitigation strategies in Sub-Saharan Africa’s livestock production sector. A brief review,2025,-0.16470283,-0.031036399803122196,0,0,accountability
10.3390/su17020569,"China’s Rural Revitalization Policy: A PRISMA 2020 Systematic Review of Poverty Alleviation, Food Security, and Sustainable Development Initiatives",2025,0.10886555,0.022031169602815235,0,0,efficiency
10.1016/j.ocecoaman.2025.107644,How blue carbon financing can sustain blue carbon ecosystems protection and restoration: A proposed conceptual framework for the blue carbon financing mechanism,2025,-0.046131592,0.0550466309904715,1,0,accountability
10.1186/s40854-024-00713-4,The nexus between the financial development and CO2 emissions: fresh evidence through time–frequency analyses,2025,0.10535514,0.038399293646344965,0,0,efficiency
10.3389/fenvs.2024.1502860,Does energy-consuming right trading policy achieve a low-carbon transition of the energy structure? A quasi-natural experiment from China,2025,0.085678086,0.05420569509516144,0,0,efficiency
10.3389/fsufs.2024.1538845,The influence of digital village construction on agricultural green development-based on the mediate role of industrial structure upgrading,2025,0.2636486,0.05979953863507262,0,0,efficiency
10.1007/s40518-024-00248-3,"Recent Progress in Sustainable Energy Systems Development: Investment, Operations, and Decarbonization",2025,0.094692774,0.05285335498686283,0,0,efficiency
10.1016/j.igd.2025.100241,Aid or sanction? Comparing the effectiveness of climate finance and environmental taxation in mitigating environmental degradation in Africa,2025,-0.02979808,0.02411947188313417,0,0,accountability
10.1016/j.sftr.2025.100795,"Integrating green tax, green logistics, green climate finance, green technology, and sustainability for a green economy: SEM-ANN approaches",2025,0.3415303,0.11089549918858929,1,0,efficiency
10.1038/s44168-025-00220-x,Filling the climate finance gap: holistic approaches to mobilise private finance in developing economies,2025,0.009316966,0.06358561173095728,0,0,efficiency
10.1186/s44147-025-00581-4,Review of sustainable temporary housing and reuse strategy for post-disaster architectures: current trends and strategic gaps,2025,0.0045172162,0.03518283268288905,0,0,efficiency
10.18089/tms.20250102,Achieving the Sustainable Development Goals through Financial Inclusion: A Bibliometric and Content Analysis,2025,0.25143057,0.08944344841585258,0,0,efficiency
10.3389/ffgc.2025.1556158,"Mangrove ecosystems in Western Asia: a literature review of trends, conservation gaps, and sustainable management strategies",2025,0.0023444407,0.02324783548603627,1,0,efficiency
10.51646/jsesd.v14i1.415,Estimation of CO2 Emissions from the Electric Power Industry Sector in Libya,2025,-0.10806914,-0.00739322596713382,0,0,accountability
10.1002/wcc.70001,"Governing the Climate in the Paris Era: Organized Irresponsibility, Technocratic Climate Futures, and Normalized Disasters",2025,-0.07582773,-0.054884808240210615,0,1,accountability
10.1007/s43621-024-00788-0,Financing the future: insights into sustainable energy investments through scientific mapping and meta-analysis,2025,0.2596131,0.10814909883414008,0,0,efficiency
10.1016/j.crm.2025.100694,Evaluating institutional climate finance barriers in selected SADC countries,2025,0.027682815,0.016728689886273435,1,0,efficiency
10.1016/j.envc.2025.101182,Dynamic economic valuation of coastal wetland restoration: A nature-based solution for climate and biodiversity,2025,-0.031679664,0.010171153091906552,0,0,accountability
10.1038/s43247-025-02035-4,Permanence risks limit blue carbon financing strategies to safeguard Southeast Asian mangroves,2025,0.10610871,-0.002938590212213929,0,0,efficiency
10.1177/00081256241296902,"Climate Finance: Progress, Challenges, and Opportunities on the Path to a Sustainable Planet",2025,0.16709417,0.10868491439045358,0,0,efficiency
10.3390/su17020567,Can New Quality Productivity Promote the Carbon Emission Performance—Empirical Evidence from China,2025,0.025198411,0.05033507184818949,0,0,efficiency
10.1007/s43621-025-01181-1,Climate governance in the BRICS: pathways toward net-zero emissions,2025,-0.126335,0.017965804775867445,0,0,accountability
10.1016/j.frl.2025.107944,Understanding financial stability through the lens of geopolitical risk in China: The influence of policy uncertainty on climate change,2025,0.04250936,0.04683450764989273,0,0,efficiency
10.1017/s0020818324000365,Climate Action from Abroad: Assessing Mass Support for Cross-Border Climate Transfers,2025,-0.023350116,-0.02005711973440798,0,0,accountability
10.1038/s41598-024-82813-w,Use of climate smart agriculture technologies in West Africa peri-urban Sahel in Niger,2025,-0.05292352,0.011744758590382466,0,0,accountability
10.1038/s43247-025-02043-4,National climate strategies show inequalities in global development of carbon dioxide geological storage,2025,-0.15068693,-0.019488596638956322,0,0,accountability
10.1371/journal.pclm.0000472,"Toward transformative youth climate justice: Why youth agency is important and six critical areas for transformative youth activism, policy, and research",2025,-0.1962477,-0.08868766511163947,0,2,accountability
10.3389/fsufs.2024.1490133,Resilience to climate-induced food insecurity in Nigeria: a systematic review of the role of adaptation strategies in flood and drought mitigation,2025,-0.13641955,-0.02343212782054336,1,0,accountability
10.3390/admsci15040150,Green Finance and Sustainable Development: Investigating the Role of Greentech Business Ecosystem Through PRISMA-Driven Bibliometric Analysis,2025,0.38044637,0.12023388968560382,0,0,efficiency
10.3390/en18020291,Cryptocurrencies Transit to a Carbon Neutral Environment: From Fintech to Greentech Through Clean Energy and Eco-Efficiency Policies,2025,0.18454067,0.06670088111470238,0,0,efficiency
10.3390/en18020434,Artificial Intelligence in Energy Economics Research: A Bibliometric Review,2025,0.18172638,0.03834684457766818,0,0,efficiency
10.3390/su17020779,Does Digital Transformation Affect Outward Foreign Direct Investment Performance? Evidence from China,2025,0.12348178,0.04147926793876331,0,0,efficiency
10.3390/systems13010060,Towards Smart and Resilient City Networks: Assessing the Network Structure and Resilience in Chengdu–Chongqing Smart Urban Agglomeration,2025,0.17844273,0.017225564893564128,0,0,efficiency
10.54660/.ijmrge.2025.6.2.277-283,The Role of Artificial Intelligence in Energy Financing: A Review of Sustainable Infrastructure Investment Strategies,2025,0.2545182,0.1549931699654185,2,1,efficiency
10.55643/fcaptp.2.61.2025.4651,БАНКІВСЬКЕ ЗЕЛЕНЕ КРЕДИТУВАННЯ ЯК КЛЮЧОВИЙ ІНСТРУМЕНТ ЕКОЛОГІЧНОЇ МОДЕРНІЗАЦІЇ ЕКОНОМІКИ,2025,0.32660025,0.00488730917908779,0,0,efficiency
10.9734/ijecc/2025/v15i74940,Artificial Intelligence-Driven Smart Waste-to-Energy Networks for Climate-Resilient Circular Resource Management in Vulnerable Megacities,2025,0.043585625,-0.0027793018887540257,1,1,efficiency
10.1002/sd.3516,Capacity Determinants of Climate Action in Developing Countries,2025,-0.029186431,-0.011006776623267,0,0,accountability
10.1016/j.frl.2025.107746,Energy transition investments and carbon emissions: asymmetric and dynamic effects across developed and emerging economies,2025,0.05897425,0.03857644559147297,0,0,efficiency
10.1016/j.worlddev.2024.106906,"Unjust energy transition: Vignettes from the COPs, climate finance and a coal hotspot",2025,-0.12308703,-0.0740513285671591,0,2,accountability
10.1017/s1355770x24000366,Reforming ESG: a European and Global South perspective,2025,0.036676705,-0.018613208520692537,0,2,efficiency
10.1371/journal.pone.0318166,Physical climate risk: Stock price reactions to the historically most extreme European and United States heat waves since 1979,2025,0.037956856,0.02671303351717981,0,0,efficiency
10.3389/fenvs.2024.1403246,The impact of green finance on carbon emission intensity in China: mediating and spatial effects,2025,0.25248253,0.08299335830014651,0,0,efficiency
10.3389/fenvs.2024.1488526,The impact of low-carbon city pilot policy on carbon emission intensity: evidence from China using a multi-period difference-in-differences model,2025,-0.17006369,0.023515517844925365,0,0,accountability
10.3389/ffgc.2024.1507554,Carbon finance for forest resilience in California,2025,-0.004968453,0.0170636295991351,0,0,accountability
10.3389/fsoil.2025.1527807,Comparative assessment of soil bulk density measurements using core metal ring and power probe methods in acidic soils of Colombian pasturelands,2025,-0.022808481,0.0010400359268513144,0,0,accountability
10.3390/en18082083,Next-Generation CSP: The Synergy of Nanofluids and Industry 4.0 for Sustainable Solar Energy Management,2025,0.17500071,0.03801168200314764,0,0,efficiency
10.3390/f16010115,Afforestation/Reforestation and Avoided Conversion Carbon Projects in the United States,2025,-0.0033245496,0.02801901071918096,0,0,accountability
10.3390/su17073230,The Impact of New-Quality Productivity on Environmental Pollution: Empirical Evidence from China,2025,0.03561245,0.05445531257577695,0,0,efficiency
10.3390/su17104296,A Sustainability-Oriented Framework for Life Cycle Environmental Cost Accounting and Carbon Financial Optimization in Prefabricated Steel Structures,2025,0.13500226,0.029855750205900703,0,0,efficiency
10.5089/9798229004091.001,Laying the Ground for Scaling up Climate Finance in Sub-Saharan Africa,2025,-0.07959616,0.07052782955032445,0,1,accountability
10.51325/ejbti.v4i2.216,Climate Finance and Sustainability: A Story Told Through the Journal of Cleaner Production,2025,0.08660285,0.12385677359073687,3,0,efficiency
10.51594/gjabr.v3i1.68,Integrating sustainability into procurement and supply chain processes in the energy sector,2025,0.16282147,0.06089273029548673,0,0,efficiency
10.1002/tqem.70086,Evaluating the Effectiveness and Challenges of Climate Change Policies in Afghanistan,2025,-0.19226316,-0.02721529379616767,0,0,accountability
10.1016/j.erss.2025.104103,Just Energy Transition Partnerships: An inclusive climate finance approach?,2025,-0.07127957,0.006988863906425577,0,1,accountability
10.1016/j.forpol.2025.103480,Does international climate finance contribute to the adoption of zero deforestation policies? Insights from Brazil and Indonesia,2025,0.037079044,-0.04507669623761138,0,1,efficiency
10.1016/j.gecadv.2025.100013,Renewable energy transition and climate finance nexus in sub-Saharan Africa,2025,-0.009977777,0.040728727252894587,0,0,accountability
10.1016/j.glt.2025.06.003,Addressing scandals and greenwashing in carbon offset markets: A framework for reform,2025,0.022300009,-0.0310416414801585,0,4,efficiency
10.1016/j.najef.2025.102435,The dynamics of corporate climate risk and market volatility: International evidence,2025,0.0676951,0.02955255610386518,0,0,efficiency
10.1016/j.rser.2025.116189,Quantifying the global energy transition: A policy-ready framework linking renewable deployment and emissions outcomes,2025,0.043444358,0.031683369472837696,1,0,efficiency
10.1016/j.wasman.2025.114942,Macro- and microplastics in composts from municipal solid waste industrial composting Plants in Uganda,2025,0.13701473,-0.013800366436389884,0,0,efficiency
10.1017/9781009389174,Sustaining Development in Small Islands,2025,-0.13464117,-0.029003580617578514,0,1,accountability
10.1038/s44168-025-00247-0,Reversing climate progress: consequences and solutions in the wake of U.S. policy rollbacks,2025,-0.11923134,-0.004075794611436937,0,0,accountability
10.1080/09692290.2025.2480794,Derisking as worldmaking: climate finance and the politics of uncertainty,2025,0.26276243,0.07538716128318412,0,0,efficiency
10.1093/nsr/nwae475,New global climate actions: insight from COP29,2025,0.043664254,-0.00147260630592744,0,0,efficiency
10.1111/rego.70010,The Development of Carbon Markets in Upper‐Middle‐Income Countries,2025,-0.027023334,0.040613592135902314,1,0,accountability
10.1126/science.adx1950,Climate adaptation finance: From paper commitments to climate risk reduction,2025,0.07707097,-0.0009976651287059487,0,0,efficiency
10.1177/1087724x251356462,Sustainable Public-Private Partnerships in Sub-Saharan Africa: A Conceptual Framework for Low Carbon Development and Domestic Financing,2025,-0.10478032,0.04707193609531871,1,0,accountability
10.17645/up.10037,Resilient and Sustainable Urban Infrastructure in the Global South: Strategies to Address Climate Change-Linked Vulnerabilities,2025,-0.052772436,0.006058713122387597,0,0,accountability
10.20517/cf.2024.57,Strengthening the role and exploring the effectiveness of new climate finance target,2025,-0.043197896,-0.04191599344181457,0,0,accountability
10.3138/jccpe-2024-0031,"Cooperating Through Transition: Limited-Equity Cooperatives, Climate Finance, and Multi-Family Decarbonization in NYC",2025,0.121402815,0.050560673361910495,2,1,efficiency
10.3389/fsufs.2025.1563379,Climate change and food security nexus in Ethiopia: challenges to food sustainability—a systematic literature review,2025,-0.17757007,-0.04690262669429917,0,0,accountability
10.3390/en18153908,"Solar Energy Solutions for Healthcare in Rural Areas of Developing Countries: Technologies, Challenges, and Opportunities",2025,0.07188095,0.001008367778486013,0,0,efficiency
10.3390/su17010265,Climate Change Exposure and Cash Holdings,2025,0.11327578,-0.017993628656442776,0,0,efficiency
10.3390/su17020465,The Impact of Market-Based Environmental Regulation on Carbon Emission Intensity: An Analysis Based on Policy Texts,2025,-0.026504103,0.05088780348155873,0,0,accountability
10.3390/su17020778,Can Carbon Emissions Trading Policies Promote Both the Quantity and Quality of Urban Green Technological Innovation? Evidence from China,2025,0.14784858,0.053423069773579954,0,0,efficiency
10.3390/su17083344,Carbon Emissions and Innovation Cities: A SHAP-Model-Based Study on Decoupling Trends and Policy Implications in Coastal China,2025,0.02166934,0.03799167305776444,0,0,efficiency
10.3390/su17136017,Assessing Food Security and Environmental Sustainability in North Africa: A Composite Indicator Approach Using Data Envelopment Analysis,2025,-0.009683084,-0.0024089445905412727,0,0,accountability
10.3390/world6020058,Emerging Markets’ Carbon Pricing Development: A Comparative Analysis of China and South Korea’s Experience,2025,-0.007298384,0.043478143484641504,0,1,accountability
10.46830/wriwp.25.00019,Strengthening the Investment Case for Climate Adaptation: A Triple Dividend Approach,2025,0.007814374,0.02188884444556286,0,0,efficiency
10.56578/cis130101,Optimising Energy Efficiency in India: A Sustainable Energy Transition Through the Adoption of District Cooling Systems in Pune,2025,0.028622095,0.03686951864399429,0,0,efficiency
10.64534/comm.2025.002,"Environmental Sustainability in Technologically Advanced Economies: The Role of Eco-Digitalization, Green Finance, and Green Technology",2025,0.26150814,0.0762582413950359,0,0,efficiency
10.70937/faet.v2i01.52,A Systematic Review Of Blue Carbon Potential in Coastal Marshlands: Opportunities For Climate Change Mitigation And Ecosystem Resilience,2025,-0.0004612282,0.013056056142792934,0,0,accountability
10.1002/2688-8319.70016,Wolf reintroduction to Scotland could support substantial native woodland expansion and associated carbon sequestration,2025,-0.08831824,0.0029618435043738322,0,0,accountability
10.1002/sd.70014,Natural Resource Rents and Energy Transition: Overcoming Barriers to Achieve Affordable and Clean Energy (Sustainable Development Goal 7),2025,0.006802533,0.03733724315165155,1,0,efficiency
10.1002/sd.70214,Climate Financing and <scp>FDI</scp> Impacts on Renewable Energy Consumption for Sustainable Development in <scp>BRICS</scp> +,2025,0.18824059,0.07212341951863052,0,0,efficiency
10.1007/s43621-025-01331-5,Unveiling research trends on the nexus between green finance and sustainable development: a systematic bibliometric review,2025,0.38437796,0.1497288035722955,1,0,efficiency
10.1016/j.accre.2025.07.001,Quantifying indirect economic losses from extreme events to inform global and local adaptation strategies,2025,-0.060045842,-0.03068945482264863,0,0,accountability
10.1016/j.ijdrr.2025.105197,The panacea of heatwaves: Can climate finance mitigate heatwave welfare costs?,2025,0.06196893,0.005358687108947661,0,0,efficiency
10.1016/j.techfore.2025.124408,Climate change and systemic risk: Evidence from financial intermediaries,2025,-0.010506649,0.03446677251687056,0,0,accountability
10.1038/s41597-025-05308-x,International Multilateral Public Climate Finance Dataset from 2000 to 2023,2025,0.08866864,0.04210447107034245,0,0,efficiency
10.1038/s43247-024-01976-6,Near-term benefits from investment in climate adaptation complement long-term economic returns from emissions reduction,2025,-0.029884089,0.00034685972851784645,0,0,accountability
