"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Definitions and accounting of climate finance: between divergence and constructive ambiguity","https://scispace.com/paper/definitions-and-accounting-of-climate-finance-between-2r4kki79","2022","Journal Article","Climate Policy","Igor Shishlov
Philipp Censkowsky","10.1080/14693062.2022.2080634","","… of climate finance that affect definitions, as well as the main climate finance accounting … them more ‘bankable’ and suitable for climate finance through concessional and even non-…",""
"Concessional Climate Finance","https://scispace.com/paper/aqaJeO9PB-IJ","","","","N LEE
C LANDERS
S MATTHEWS","","https://www.cgdev.org/sites/default/files/concessional-climate-finance-mdb-architecture-working.pdf","… Based on our analysis, we recommend consolidating funds in order to increase efficiency and impact; deploying more concessional funds at the climate finance portfolio (vs. transaction…",""
"Establishing a measurement, reporting, and verification system for climate finance in post-Paris agreement period","https://scispace.com/paper/establishing-a-measurement-reporting-and-verification-system-o8op26hinq","2016","Journal Article","Chinese journal of population, resources and environment","Yinshuo Xu
Ziyuan Dong
Yao Wang","10.1080/10042857.2016.1258802","","… accounting system of climate finance has been developing and improving, it remains incapacity in providing accurate data on disbursed climate finance… and grant-equivalent instruments…","The measurement, reporting, and verification (MRV) of climate finance was originated from discussions under the United Nations Framework Convention on Climate Change (UNFCCC). It has been one of th..."
"The international climate finance accounting muddle: is there hope on the horizon?","https://scispace.com/paper/the-international-climate-finance-accounting-muddle-is-there-rux7bmcki6","2019","Journal Article","Climate and Development","Romain Weikmans
J. Timmons Roberts","10.1080/17565529.2017.1410087","https://www.tandfonline.com/doi/pdf/10.1080/17565529.2017.1410087","… for climate finance has given rise to a plethora of accounting and reporting practices that leads to widely contrasting statements on climate finance. … and/or grant equivalent in addition to …","The sources and governance of climate finance have been widely debated since the 2009 climate change summit in Copenhagen, when rich countries promised to provide US$ 30 billion in additional clima..."
"Tracking climate finance: what and how?","https://scispace.com/paper/tracking-climate-finance-what-and-how-d8kcqjayra","2012","Posted Content","","Christa Clapp
Jane Ellis
Julia Benn
Jan Corfee-Morlot","","https://www.oecd-ilibrary.org/tracking-climate-finance_5k44xwtk9tvk.pdf","… accounting for non-concessional as well as concessional flows in bilateral and multilateral portfolios increases estimates of the amount of climate finance flowing on a gross accounting …","Developed countries have committed under the international negotiations to jointly mobilising USD 100 billion per year by 2020 for climate change mitigation and adaptation in developing countries. Yet consistent and comprehensive data to track this commitment are currently lacking. Such data will also help governments and the private sector understand how much and what type of climate finance is flowing today, so as to be able to evaluate progress and effectiveness of international climate finance flows. Estimates based on available data are highly uncertain and incomplete, highlighting several challenges in establishing a robust tracking system. A more political question is what should be the internationally agreed definition of “climate finance” or, absent agreement on that, what types of flows or activities might count towards the USD 100 billion? On the more technical side, challenges include clearly defining flows and sources of international climate finance, determining the cause and effect of flows, and establishing the boundaries of finance flowing towards climate change action. This paper considers what data are currently available to track climate finance, and demonstrates the complex nature of financial flows through examples across international and domestic as well as public and private flows. The examples highlight questions on how to count and track climate finance. Les pays developpes se sont engages dans le cadre de negociations internationales a mobiliser ensemble 100 milliards de dollars par an d’ici a 2020 au service de l’attenuation du changement climatique et de l’adaptation a ses effets dans les pays en developpement. Cependant, des donnees coherentes et detaillees permettant de suivre l’application de cet engagement font aujourd’hui defaut. Ces informations aideraient aussi les pouvoirs publics et le secteur prive a connaitre le volume et la nature des financements actuellement consacres au domaine du climat, ce qui leur permettrait d’evaluer les progres et l’efficacite des flux internationaux de financement climatique. Les estimations etablies a partir des donnees disponibles sont tres incertaines et incompletes, d’ou il ressort plusieurs problemes auxquels se heurte la mise en place d’un solide systeme de suivi. Une question de caractere plus politique est celle de savoir en quels termes il convient de definir d’un commun accord a l’echelon international le « financement climatique » ou, a defaut d’accord sur cette definition, quels types de flux ou d’activites pourraient entrer en ligne de compte dans ces 100 milliards de dollars. Sous un angle plus technique, la difficulte consiste notamment a definir precisement les flux et les sources de financement climatique international, a mettre en evidence les causes et les effets des flux, ainsi qu’a determiner les limites du financement de l’action pour le climat. Ce rapport examine quelles donnees sont aujourd’hui disponibles pour assurer un suivi du financement climatique, et fait apparaitre la complexite des flux financiers au travers d’exemples de flux internationaux et interieurs, ainsi que publics et prives. Ces exemples mettent en relief les questions que soulevent les modalites de comptabilite et de suivi du financement climatique."
"CLIMATE FINANCE SHADOW REPORT 2023","https://scispace.com/paper/climate-finance-shadow-report-2023-69vbsrwketx9","2024","Journal Article","Climate Change and Law Collection","F SHADOW","10.1163/9789004322714_cclc_2023-0060-0340","https://www.oxfam.org.tw/tc/f/news_and_publication/96599/172506/bp-climate-finance-shadow-report-050623.pdf","… accounting practices mean that climate finance is far from fulfilling its purpose. Only a small share of climate finance has … to account for climate finance at its grant equivalent value. This …",""
"Estimating mobilised private climate finance: methodological approaches, options and trade-offs","https://scispace.com/paper/_qmgUPYiCWcJ","","","","R Jachnik
R Caruso
A Srivastava","","https://www.oecd.org/content/dam/oecd/en/publications/reports/2015/02/estimating-mobilised-private-climate-finance_g17a25d8/5js4x001rqf8-en.pdf","… finance can be based on assumed risk, concessionality, and/or sequence of public finance. … of a measurement, reporting and verification (MRV) system for climate finance under the …",""
"Public climate finance: the challenge of reporting equity","https://scispace.com/paper/public-climate-finance-the-challenge-of-reporting-equity-1byoc22ro5","2017","Posted Content","Research Papers in Economics","Kris Bachus
Emilie Bécault","","https://lirias.kuleuven.be/retrieve/446691","… Reporting practices up to now have shown that concessionality is … non-concessional flows will be reported as public climate finance … of climate finance reporting, improved accounting …","There is currently no agreed comprehensive methodology on how to track and report on public climate finance. One of the difficulties – next to determining the climate relevance of projects funded– is the valuation of financial instruments other than grants (i.e. loans, guarantees, equity). For loans, the calculation of the grant equivalent of the financial flow is relatively straightforward, but for equity, it is unclear what the best way is to value the grant equivalent. Hence, the primary objective of this research paper is to provide an overview of the variety of methods that can be used to value the provision of public climate finance to developing countries through equity investments. In this endeavour, special attention will be paid to recent debates taking place in the context of the modernisation of the OECD DAC statistical system about how to better represent the donor effort involved in extending private sector instruments and especially equity investments."
"Difficulties in accounting for private finance in international climate policy","https://scispace.com/paper/difficulties-in-accounting-for-private-finance-in-vanbebq8vy","2013","Journal Article","Climate Policy","Martin Stadelmann
Axel Michaelowa
J. Timmons Roberts","10.1080/14693062.2013.791146","","… While this definition is used to guide this overview of private climate finance flows, it does … The range of 0.4–2.6 is a first approximation for the leverage ratio of grants and concessional …",""
"Same but different? Understanding divergent definitions of and views on climate finance","https://scispace.com/paper/same-but-different-understanding-divergent-definitions-of-j3xim6db","2022","Book Chapter","","I Shishlov
P Censkowsky","10.4337/9781784715656.00007","","… climate finance at face value but should be counted only at grant-equivalent value (ie, only their concessional … While this chapter focuses on climate finance definitions and accounting, it …","This chapter unpacks the diverging definitions and accounting methods of climate finance. Attaining consensus among Parties on these issues is crucial in light of the new collective quantified goal on climate finance that is being defined until the end of 2024. In the following we describe and discuss the main controversies - notably questions regarding the eligibility of climate-related activities and counting of different finance instruments towards international commitments, the relationship between climate and development finance as well as the accounting for of 'negative' climate finance. We argue that the international community needs high-level institutional change and leadership to facilitate a fast, goal-oriented and consensual process to resolve these issues. In the absence of such convergence, attaining the objectives of the Paris Agreement will continue to suffer from a hodgepodge of institutional approaches to defining, counting and accounting for climate finance. "
"Improving the effectiveness of climate finance: Key lessons","https://scispace.com/paper/improving-the-effectiveness-of-climate-finance-key-lessons-4pgrbt8uky","2011","","","Miriam Chaum
Chris Faris
Gernot Wagner
Barbara Buchner
Angela Falconer
Chiara Trabacchi
Jessica H. Brown
Katherine Sierra","","http://ecbi.org/sites/default/files/111122_Effectiveness%20of%20Climate%20Finance.pdf","… on crucial issues, such as what levels of concessionality are necessary to trigger low carbon … Tools, methods and systems must strike a balance between the rigor of measurement …",""
"New and additional to what? Assessing options for baselines to assess climate finance pledges","https://scispace.com/paper/new-and-additional-to-what-assessing-options-for-baselines-3nq8v87gg8","2011","Journal Article","Climate and Development","Martin Stadelmann
J. Timmons Roberts
Axel Michaelowa","10.1080/17565529.2011.599550","https://scispace.com/pdf/new-and-additional-to-what-assessing-options-for-baselines-3nq8v87gg8.pdf","… , we may have some interference with the rules for accounting of ODA. The wording of ‘new … that all financial transfers with a certain level of concessionality qualify as ODA. Therefore, a …","All major climate policy agreements – the UN Framework Convention, the Kyoto Protocol and recently the Cancun Agreements – have stated that climate finance for developing countries will be ‘new and additional’. However, the term ‘new and additional’ has never been properly defined. Agreeing to a system to measure a baseline from which ‘new and additional’ funding will be calculated will be central to building trust and realizing any post-Kyoto agreement. We explore eight different options for a baseline, and assess each according to several criteria: novelty to existing pledges, additionality to development assistance, environmental effectiveness, distributional consequences, and institutional and political feasibility. Only two baseline options do well on these criteria and are therefore viable: ‘new sources only' and ‘above pre-defined business as usual level of development assistance’."
"Post-2025 climate finance target: how much more and how much better?","https://scispace.com/paper/post-2025-climate-finance-target-how-much-more-and-how-much-2hnu5zum","2022","Journal Article","Climate Policy","W.P. Pauw
Ulf Moslener
Luis Zamarioli
Niranjali Manel Amerasinghe
Joanes Atela
J. P. B. Affana
Brian Buchner
Richard J. T. Klein
Kennedy Mbeva
Jyotsna Puri
J.S. Roberts
Zoha Shawoo
Christian N. Watson
Romain Weikmans","10.1080/14693062.2022.2114985","https://www.tandfonline.com/doi/pdf/10.1080/14693062.2022.2114985%4010.1080/tfocoll.2023.0.issue-Climate-Finance-and-Greener-Finance","… financed through a (concessional) loan. While this face value accounting practice may reflect an … First, given the existing difficulties related to accountability, measurement, and trust, we …",""
"Climate finance: is it making a difference","https://scispace.com/paper/nzTVxw-h_oEJ","","","","S Barnard
C Watson
R Greenhill","","https://weadapt.org/wp-content/uploads/2023/05/odi_is_climate_finance_making_a_difference.pdf","… grant finance can complement the use of less concessional and non-concessional financial … variations in how basic rules for GHG emission accounting are used and applied, and in the …",""
