doi,title,year,cited_by_count,source_count,reranker_score,weak_label,abstract,reranker_relevant,human_label
10.1016/j.envsci.2009.06.007,Reforming the CDM for sustainable development: lessons learned and policy futures,2009.0,240.0,1,0.004897024,True,,False,True
10.3390/su15097243,Challenges and Opportunities in the Use of Nature-Based Solutions for Urban Adaptation,2023.0,72.0,1,0.004907487,True,"The concept of nature-based solutions (NbS) has been endorsed by multiple international organizations as one of the priority approaches to address climate-related challenges. These solutions are versatile, and can simultaneously address challenges such as climate impacts, public health, inequality, and the biodiversity crisis, being uniquely suited for urban adaptation. NbS are particularly relevant in the developing world, where strategies should be as self-reliant as possible, reducing the need for technological processes that require expensive and complex maintenance. NbS can also promote political, societal, cultural, and ultimately, systems change. The purpose of this paper is to present a literature review on the use of NbS for urban adaptation, identifying the main opportunities, challenges, and, most specifically, knowledge gaps, which can be addressed in subsequent research. The present paper identifies four types of knowledge gaps that are particularly relevant for the use of NbS for urban adaptation: future climate uncertainty, lack of site-specific technical design criteria, governance strategies, and effectiveness assessment evaluation. To overcome local governments’ limitations, specific implementation strategies and structures should be considered, centered on knowledge transfer within a transdisciplinary and participatory framework. These should be developed in partnership with urban planning entities, seeking to consolidate these approaches in policies that support social resilience and institutional capacity. Therefore, urban adaptation should be initiated with pilot projects to simultaneously address the urgency for implementation, while allowing urban planning practices the time to adjust, building capacity at the local level, and filling knowledge gaps through the assessment of effectiveness. The climate-resilience of urban tree species adequate to the future climate was identified as a relevant knowledge gap for the implementation of NbS.",True,False
10.1596/978-0-1952-0876-4,World Development Report 1992,1992.0,938.0,1,0.0049084607,True,"No AccessWorld Development Report1 Feb 2013World Development Report 1992Development and the EnvironmentAuthors/Editors: World BankWorld Bankhttps://doi.org/10.1596/0-1952-0876-5AboutView ChaptersPDF (31.8 MB) ToolsAdd to favoritesDownload CitationsTrack Citations ShareFacebookTwitterLinked In Abstract:This is the fifteenth in the annual series assessing major development issues. The World Development Report 1992 explores the links between economic development and the environment. The 1990 report on poverty, last year's report on development strategies, and this report constitute a trilogy on the goals and means of development. The main message of this year's report is the need to integrate environmental considerations into development policymaking. The report argues that continued, and even accelerated, economic and human development is sustainable and can be consistent with improving environmental conditions, but that this will require major policy, program, and institutional shifts. A twofold strategy is required. First, the positive links between efficient income growth and the environment need to be aggressively exploited. Second, strong policies and institutions need to be put in place which cause decision makers to adopt less damaging forms of behavior. Where tradeoffs exist between income growth and environmental quality, the report argues for a careful assessment of the costs and benefits of alternative policies. This approach will result in much less environmental damage. Like its predecessors, this report includes the World Development Indicators, which offer selected social and economic statistics on 125 countries. Previous bookNext book FiguresreferencesRecommendeddetailsCited byDoes Inequality Affect Climate Change? A Regional and Sectoral AnalysisSocial Indicators Research, Vol.11523 February 2023Growth, emissions, and climate finance nexus for sustainable development: Revisiting the environmental Kuznets curveSustainable Development, Vol.31, No.115 September 2022A simultaneous investigation of the environmental Kuznets curve for the agricultural and industrial sectors in ChinaJournal of the Asia Pacific Economy, Vol.28, No.111 January 2021Environmental policy stringency and comparative advantage of environmental sensitive goods: a study of textile exports in G20 countriesBenchmarking: An International Journal, Vol.29, No.916 December 2021Accountability and governance in implementing the Sustainable Development Goals in a developing country context: evidence from TanzaniaAccounting, Auditing & Accountability Journal, Vol.35, No.627 January 2022Is There a Kuznets Curve for CO2-Emissions?Biophysical Economics and Sustainability, Vol.7, No.212 May 2022Ecological Imperialism: A World‐Systems ApproachThe American Journal of Economics and Sociology, Vol.81, No.38 September 2022An interdisciplinary approach to address aquatic environmental issues with young students from BrazilInternational Research in Geographical and Environmental Education, Vol.31, No.130 June 2021Particularities of the Legal Framework for the Mexican Emissions Trading System17 December 2021Does Chinese Economic Development Fit the Austrian Perspective?7 January 2023Obesity Kuznets curve and the reality of eco-income ellipsoids (EIE)The European Journal of Health Economics, Vol.22, No.728 April 2021RETRACTED ARTICLE: Coastal land use planning and beach sports image recognition based on high-resolution remote sensing imagesArabian Journal of Geosciences, Vol.14, No.1128 May 2021Does the environmental Kuznets curve reliably explain a developmental issue?Environmental Science and Pollution Research, Vol.28, No.929 October 2020Rethinking Development: Broadening the Goals and Altering the Approach14 February 2021Water, Energy, Health and Sanitation Challenges in Masvingo's Low-Income Urban Communities in the Context of SDGs in Zimbabwe17 June 2021Umwelt und Entwicklung13 May 2022THE RELATIONSHIP BETWEEN ECONOMIC GROWTH AND CAPACITY FOR GENERATING CO2 EMISSIONS: TESTING THE VALIDITY OF THE ENVIRONMENTAL KUZNETS CURVE FOR TURKEYInternational Journal of Management Economics and Business, Vol.16, No.431 December 2020Energy consumption, CO² emissions and economic growth in MENA countriesEnvironmental Economics, Vol.11, No.116 December 2020Stakeholder integration, environmental sustainability orientation and financial performanceJournal of Business Research, Vol.119Exploring the existence of environmental Kuznets curve in the midst of financial development, openness, and foreign direct investment in New Zealand: insights from ARDL bound testEnvironmental Science and Pollution Research, Vol.27, No.2919 June 2020Fracture-controlled groundwater seeps into the Mediterranean Sea along the coast of LebanonArabian Journal of Geosciences, Vol.13, No.1321 June 2020Do parents counter-balance the carbon emissions of their children?PLOS ONE, Vol.15, No.415 April 2020Resilience building of rural livelihoods in PES programmes: A case study in China's Loess HillsAmbio, Vol.49, No.43 September 2019The curvilinear relationship between environmental pollution and economic growthInternational Journal of Energy Sector Management, Vol.14, No.5Does sanitation infrastructure in rural areas affect migrant workers' health? Empirical evidence from ChinaEnvironmental Geochemistry and Health, Vol.42, No.219 August 2019What can we learn from the historic road safety performance of high-income countries?International Journal of Injury Control and Safety Promotion, Vol.27, No.123 December 2019Challenges in Achieving Inclusive and Sustainable Growth in India19 June 2020Determinants of Sustainable Development: National Dimension of Environmental Kuznets CurveMan and Environment. Issues of Neoecology, No.331 January 2020Examining an Alcohol consumption Kuznets Curve for developed countriesApplied Economics Letters, Vol.26, No.1727 February 2019Re-evaluating the environmental impacts of tourism: does EKC exist?Environmental Science and Pollution Research, Vol.26, No.199 May 2019Effect of Ethic Discourse in the Sustainability of ArchitectureIOP Conference Series: Materials Science and Engineering, Vol.5185 June 2019Coal production and consumption analysis, and forecasting of related carbon emission: evidence from ChinaCarbon Management, Vol.10, No.219 April 2019Regional Disparities in Social Development: Evidence from States and Union Territories of IndiaSouth Asian Survey, Vol.26, No.123 April 2019ORBIS SCHOLAE, Vol.12, No.2The post-political meaning of the concept of commons: the regulation of the urban commons in BolognaSpace and Polity, Vol.22, No.31 August 2018Forest Dilemma in the Hindu Raj Mountains Northern Pakistan: Impact of Population Growth and Household DynamicsSmall-scale Forestry, Vol.17, No.320 January 2018Estimating the provincial environmental Kuznets curve in China: a geographically weighted regression approachStochastic Environmental Research and Risk Assessment, Vol.32, No.713 December 2017The World Bank21 August 2017Kuznets and Environmental Kuznets Curves for Developing Countries7 January 2018Environmental Kuznets Curve15 February 2018Sociological Theories on Air Pollution: Between Environmental Justice and the Risk Society Approach22 February 2018Reporting Corporate Sustainability: The Challenges of Organisational and Political Rhetoric11 April 2018The Environment13 September 2018Ghanaian school-going adolescents' self-perceived barriers of access to quality education: A qualitative studyDevelopment Southern Africa, Vol.34, No.531 May 2017Ecological health effects of rural livelihood and poverty reduction strategies in the Lake Bosomtwe basin of GhanaGeoJournal, Vol.82, No.34 March 2016The environmental Kuznets curve after 25 yearsJournal of Bioeconomics, Vol.19, No.19 January 2017Natural and Environmental Constraints8 December 2016Environmental Regulation Models7 April 2017Sustainability Definitions—An Analysis11 February 2017Economic Growth as a Cause of Environmental Degradation: The Australian Experience8 September 2017Kuznets and Environmental Kuznets Curves for Developing Countries17 April 2017Impact of Population Growth on Forest Cover: A Case Study of Tawang District of Arunachal PradeshDera Natung Government College Research Journal, Vol.2, No.11 January 2017Integrated Nutrient Management12 January 2017The State of African Cities 2014Journal of Asian and African Studies, Vol.51, No.428 July 2016Umwelt und Entwicklung26 May 2016Environmental Kuznets Curve Hypothesis14 May 2016The Challenge Ahead2 November 2015New Challenges to Agronomists in International Development26 October 2015The Potential Role of Biotechnology in Solving Food Production and Environmental Problems in Developing Countries26 October 2015Taking Natural Limits Seriously: Implications for Development Studies and the EnvironmentDevelopment and Change, Vol.46, No.419 June 2015Unequal sustainabilities: The role of social inequalities in conservation and development projectsEconomic Anthropology, Vol.2, No.21 June 2015Sustainable Urban Development in Africa? The Case of Urban Transport in Sekondi-Takoradi, GhanaAmerican Behavioral Scientist, Vol.59, No.31 October 2014The Environmental Kuznets Curve after 25 YearsSSRN Electronic JournalRisk Management During Effluent Application for Irrigation30 October 2014IntroductionClimate Change: An Emerging Trade Opportunity in South AsiaSouth Asian Journal of Macroeconomics and Public Finance, Vol.3, No.230 November 2014Forty years of gender research and environmental policy: Where do we stand?Women's Studies International Forum, Vol.47Controlling pollution and environmental absorption capacityAnnals of Operations Research, Vol.220, No.112 October 2011The Micro-foundations of the Environmental Kuznets CurveFudan Journal of the Humanities and Social Sciences, Vol.7, No.35 August 2014Energy Consumption Response to Climate Change: Policy Options for IndiaIIM Kozhikode Society & Management Review, Vol.3, No.227 October 2014Natural capital in the macroeconomyEnvironment and Development Economics, Vol.19, No.35 June 2014The Varied Influence of SES on Environmental ConcernSocial Science Quarterly, Vol.95, No.122 May 2013Subsistence and SustainabilityJournal of Macromarketing, Vol.34, No.126 August 2013Whither Conservation Ethics?Defining and Measuring Human Well-Being11 July 2014Inequality, growth, and environmental quality trade‐offs in a model with human capital accumulationCanadian Journal of Economics/Revue canadienne d'économique, Vol.46, No.320 August 2013Protecting Sovereignty, Protecting the Planet: State Delegation to International Organizations and Private Actors in Environmental PoliticsGovernance, Vol.26, No.37 September 2012Overview27 April 2016Development and the EnvironmentThe Journal of Environment & Development, Vol.21, No.218 April 2012Is Economic Transition Harmful to China's Urban Environment? Evidence from Industrial Air Pollution in Chinese CitiesUrban Studies, Vol.49, No.819 September 2011Traditional Knowledge about Indian Antimicrobial Herbs1 February 2011Development and the EnvironmentSocial Capital and the Willingness to Pay for Environmental Goods in African CountriesSSRN Electronic JournalThe Rescaling of Global Environmental PoliticsAnnual Review of Environment and Resources, Vol.35, No.1Microeconomic Analysis of Innovative Environmental Programs in Developing CountriesReview of Environmental Economics and Policy, Vol.4, No.2Environmental Kuznets curves: mess or meaning?International Journal of Sustainable Development & World Ecology, Vol.17, No.314 May 2010National Use of Asbestos in Relation to Economic DevelopmentEnvironmental Health Perspectives, Vol.118, No.1Indifference curves as a tool for environment impact assessmentEnvironmental Monitoring and Assessment, Vol.160, No.1-430 January 2009The Ecological Footprint of Poverty Alleviation: Evidence from Mexico's Oportunidades ProgramSSRN Electronic JournalHuman Development and SustainabilitySSRN Electronic JournalBurden-sharing and global climate negotiations: the case of the Kyoto ProtocolClimate Policy, Vol.10, No.215 June 2011Askö in Stanford 2000: Are We Consuming Too Much?2 November 2010Development and urbanization: a revisit of Chenery–Syrquin's patterns of developmentThe Annals of Regional Science, Vol.43, No.416 May 2008Optimal environmental and industrial policies and imperfect agglomeration effectsRegional Science Policy & Practice, Vol.1, No.2A Cross-National Analysis of How Economic Inequality Predicts Biodiversity LossConservation Biology, Vol.23, No.5Geopolitics, Economic Freedom and Growth in China and the WestPacific Focus, Vol.24, No.2Sustainable Development: The Role of GIS and VisualisationThe Electronic Journal of Information Systems in Developing Countries, Vol.38, No.15 December 2017Ecologically Unequal Exchange, Ecological Debt, and Climate JusticeInternational Journal of Comparative Sociology, Vol.50, No.3-420 May 2009Sustainable development in the Clean Development Mechanism: the role of Designated National Authority in China and IndiaJournal of Environmental Planning and Management, Vol.52, No.112 December 2008The voluntary provision of a pure public good? Another look at CFC emissions and the Montreal ProtocolOxford Economic Papers, Vol.61, No.14 July 2008Urban environmental performance in China: a sustainability divide?Sustainable Development, Vol.17, No.1Potential of improved fallows to increase household and regional fuelwood supply: evidence from western KenyaAgroforestry Systems, Vol.73, No.28 April 2008Testing the Environmental Kuznets Curve Hypothesis with Bird Populations as Habitat-Specific Environmental Indicators: Evidence from CanadaConservation Biology, Vol.22, No.2Energy Utilization, Renewables and Climate Change Mitigation in TurkeyEnergy Exploration & Exploitation, Vol.26, No.11 February 2008Structural Change, Environment and Well-Being: Interactions Between Production and Consumption Choices of the Rich and the Poor in Developing CountriesSSRN Electronic JournalThe Environmental Kuznets Curve for Water Quality: An Analysis of Its Appropriateness Using Unit Root and Cointegration TestsSSRN Electronic JournalEnvironmental Economics at the World BankReview of Environmental Economics and Policy, Vol.2, No.1Environmental Kuznets Curve27 November 2016International Economic Integration and Environmental Protection: The Case of ChinaInternational Studies Quarterly, Vol.51, No.4The Economics of Food Production28 September 2007Human Tropical Diseases in a Changing Environment28 September 2007Reproductive Health, Population Growth, Economic Development and Environmental Change28 September 2007Annatto Fruit Pericarp: Newer Source As a Potential FuelEnergy & Fuels, Vol.21, No.211 January 2007Waste management and recycling practices of the urban poor: a case study in Kuala Lumpur city, MalaysiaWaste Management & Research: The Journal for a Sustainable Circular Economy, Vol.25, No.12 July 2016Social Policy and Development in East Africa: the Case of Education and Labour Market PoliciesHealth Effects of Arsenic, Fluorine, and Selenium from Indoor Burning of Chinese CoalAre Services Better for Climate Change?Environmental Science & Technology, Vol.40, No.2127 September 2006The environmental impact of industrialization in East Asia and strategies toward sustainable developmentSustainability Science, Vol.1, No.110 August 2006Rainwater potential for domestic water supply in GrenadaProceedings of the Institution of Civil Engineers - Water Management, Vol.159, No.3Effective Regulations with Little Effect? The Antecedents of the Perceptions of Environmental Officials on Enforcement Effectiveness in ChinaEnvironmental Management, Vol.38, No.31 September 2006Eco-dependency in Latin AmericaSingapore Journal of Tropical Geography, Vol.27, No.2Indigenous knowledge and library work in Sierra LeoneJournal of Librarianship and Information Science, Vol.38, No.230 June 2016Explanatory Variables for per Capita Stocks and Flows of Copper and ZincJournal of Industrial Ecology, Vol.10, No.1-28 February 2008Urbanisation Without Development: Environmental and Health Implications in African CitiesEnvironment, Development and Sustainability, Vol.7, No.4The Political Ecology of Deforestation in ThailandGeography, Vol.90, No.311 August 2020Trade Reform and Manufacturing Pricing Behavior in Four Archetype Asia-Pacific Economies*Asian Economic Journal, Vol.19, No.2Frontier Expansion and Economic DevelopmentContemporary Economic Policy, Vol.23, No.2THE ENVIRONMENTAL KUZNETS CURVE: A LITERATURE SURVEYThe South African Journal of Economics, Vol.73, No.1The ""advantage of latecomer"" in abating air‐pollution: the East Asian experienceInternational Journal of Social Economics, Vol.32, No.3Global cotton and local environmental management: the political ecology of rich and poor small-hold farmers in southern MaliThe Geographical Journal, Vol.171, No.1The Role of Technology Management in the Dynamics of Greenhouse Gas Emissions From Household Energy Use in Sub-Saharan AfricaThe Journal of Environment & Development, Vol.14, No.124 July 2016Socio‐economic factors determining adult literacy in developing countriesInternational Journal of Social Economics, Vol.32, No.1/2Rethinking the contribution of indigenous management in small-scale water provision among selected rural communities in CameroonEnvironment, Development and Sustainability, Vol.6, No.4The environmental Kuznets curve revisited once againForum for Social Economics, Vol.35, No.1Economic and Societal Changes in China and their Effects onWater Use A Scenario AnalysisJournal of Industrial Ecology, Vol.9, No.1-28 February 2008Environmental Policy Options in the Multi-Regimes FrameworkThe State of NGOs in Post-apartheid South Africa: Changing Roles in Conservation and DevelopmentAfrican Geographical Review, Vol.23, No.1Options for Viable Economic Development through Tourism among the Non-Oil Arab Countries: The Egyptian CaseTourism Economics, Vol.10, No.415 September 2016ENERGY MANAGEMENT AND GLOBAL HEALTHAnnual Review of Environment and Resources, Vol.29, No.1THE POLITICAL ECONOMY OF FOREST POLICY IN MEXICO AND CHILESingapore Journal of Tropical Geography, Vol.25, No.3Surface Water Pollution15 July 2005Wastewater Management for Developing Countries15 July 2005Committed to health for all? How the G7/G8 rateSocial Science & Medicine, Vol.59, No.8Sustainable environmental resource utilisation: a case study of farmers' ethnobotanical knowledge and rural change in Bungoma district, KenyaApplied Geography, Vol.24, No.4Developing indicators for assessing land-use sustainability in a tropical agro-ecosystem: The case of Sakaekrang watershed, ThailandInternational Journal of Sustainable Development & World Ecology, Vol.11, No.12 June 2009Environmental leapfrogging in developing countries: A critical assessment and reconstructionNatural Resources Forum, Vol.27, No.3The Role of Natural Resources in Economic DevelopmentAustralian Economic Papers, Vol.42, No.2Allocation of Responsibility: Managerial Perspectives on Pollution in Three Chinese MunicipalitiesEnvironment and Planning C: Government and Policy, Vol.21, No.330 November 2016Biodiversity Loss and Economic Growth: A Cross-Country AnalysisContemporary Economic Policy, Vol.21, No.2Genetic improvements in major US crops: the size and distribution of benefitsAgricultural Economics, Vol.28, No.2Distribution Issues in Water Projects: An Application of Sen's Entitlements ApproachEnvironmental Policy Options in the Multi-regimes FrameworkSSRN Electronic Journal'Biomass Lung': Primitive Biomass Combustion and Lung DiseaseIndoor and Built Environment, Vol.11, No.627 July 2016Why are there No Longer ?War Famines' in Contemporary Europe?IDS Bulletin, Vol.33, No.4Understanding household demand for indoor air pollution control in developing countriesSocial Science & Medicine, Vol.55, No.4Poverty and Soil Management - Relationships From Three Honduran WatershedsSociety & Natural Resources, Vol.15, No.619 January 2011Institutions, Freedom, and Technical EfficiencySouthern Economic Journal, Vol.69, No.11 July 2002Introduction27 May 2002Issue 127 May 2002Issue 227 May 2002Issue 427 May 2002Conclusion27 May 2002References27 May 2002Argentina: the Birth of Latin American PopulismThe Next Revolution: SustainabilityIntroductionIssue 1Issue 2Issue 3Issue 4IntroductionThe Subnational Role in Sustainable DevelopmentSustainable Development and Natural Hazards MitigationSustainable GovernanceSustainability in the United Development and the Use of Public Impact of Political on of and National Environmental Human and Natural A Review and Development Review, Vol.27, to of Population Research, of Economic on of Biology, Vol.15, of are & Vol.43, No.130 June and A Economic Journal, No.11 July Regulation and Development: A Empirical Development Studies, Vol.29, No.219 August Trade and the Global December of Growth and Environmental A New Evidence of the Environmental Kuznets Electronic Environmental Policy and Risk POLICY IN A A of and policy, Vol.19, Comparative and Government Policy of Economics, Vol.51, No.35 November in the and in the with and Environment, Vol.21, to Developing of Industrial Ecology, Vol.4, the Tourism Environment and East European and Planning Planning and Vol.27, No.330 November and the A and for Journal of Environment & Development, Vol.9, and in The Role of and Forest Management in and Labour Studies, Vol.25, July as sustainable The of Journal of Tourism Research, Vol.2, as sustainable The of Journal of Tourism Research, Vol.2, of Ecological Footprint Analysis for Journal of Environmental Management, Vol.7, Economic Growth from Environmental A on the Environmental Kuznets Curve Electronic Behavioral Scientist, Vol.43, July and Urban in the Asia-Pacific A Studies, No.1Environmental regulation of and in Asian Resources Forum, Vol.23, and the economic growth of developing in Comparative International Development, Vol.34, No.3The An of and Development Review, Vol.25, and from evidence from in the Economics, Vol.21, No.11 August and the of to Journal of Environment & Development, July 2016The of Population Growth on Food and the Electronic JournalThe Political of the Vol.51, June and from Electronic JournalThe Transition and the Political of African at and potential of sustainable development in Development, Vol.6, No.3The potential of sustainable development in Development, Vol.6, and the in the World Quarterly, Vol.19, August and Programs as a for of Vol.1, October Growth, Food Production and Nutrient of Vol.1, October Development: as a Economic Focus, Vol.31, sustainable development and Journal of Sustainable Development & World Ecology, June and developmental in a South Asian Journal of Social Economics, Vol.25, of an Journal of Social Economics, Vol.25, comparative study on environmental policy development in the East Asian countries: and ChinaEnvironmental Economics and Policy Studies, Vol.1, September environmental performance for from to sustainability and Journal of Sustainable Development & World Ecology, June and & Environment, Vol.11, August environmental in Human Geography, Vol.22, No.31 July 2016The Poverty Discourse and the Poor in of the of Vol.23, and the New in the or Global Climate Political Electronic JournalThe of decision and Vol.14, No.14 February OF IN AND Developing Vol.35, March among Energy Resources and Global of Political Economy, management for improved in factors Economics, Vol.17, December in Developing of Research Using a and Journal of and Comparative July IN THE GLOBAL to in the Economics, Vol.17, No.11 October and on and Urban in Developing Countries, Studies, Vol.34, and building the for sustainable development in Journal of Sustainable Development & World Ecology, Vol.4, June 2009The of Environmental to A Comparative Study of and Studies, Vol.34, development of resource Journal of Sustainable Development & World Ecology, Vol.4, June to New of Vol.31, No.14 March and Journal of Environment & Development, Vol.6, July 2016The Kuznets Curve for the Environment and Economic Growth: the and Planning and Vol.29, July to a A from the of International Development, Vol.9, December the the of political ecology in World environmental Vol.29, and the and Review, Vol.25, No.219 August 2016The for Development Studies, Vol.24, and for from a in and Journal of Social Economics, Vol.24, Flows In Political Environmental Journal of Economics and Sociology, No.124 August a Viable for and in on and for Soil Conservation and Food for Development Studies, Vol.24, Journal of the in Sub-Saharan and and Bulletin, November the in Sub-Saharan and Bulletin, November to agricultural development in Africa: is and Policy, Vol.21, A of the of American and and environmental issues with",True,True
10.1007/s13280-020-01342-8,Investing in climate change adaptation and mitigation: A methodological review of real-options studies,2020.0,63.0,1,0.004875739,True,"Uncertain future payoffs and irreversible costs characterize investment in climate change adaptation and mitigation. Under these conditions, it is relevant to analyze investment decisions in a real options framework, as this approach takes into account the economic value associated with investment time flexibility. In this paper, we provide an overview of the literature adopting a real option approach to analyze investment in climate change adaptation and mitigation, and examine how the uncertain impacts of climate change on the condition of the human environment, risk preferences, and strategic interactions among decisions-makers have been modeled. We found that the complex nature of uncertainties associated with climate change is typically only partially taken into account and that the analysis is usually limited to decisions taken by individual risk neutral profit maximizers. Our findings call for further research to fill the identified gaps.",False,False
10.1038/s41467-018-04687-7,Emissions mitigation opportunities for savanna countries from early dry season fire management,2018.0,115.0,1,0.004865584,True,"Savanna fires produce significant emissions globally, but if managed effectively could provide an important mitigation opportunity, particularly in African least developed countries. Here we show global opportunities for emissions reductions through early dry season burning for 37 countries including: 29 countries in Africa (69.1 MtCO2-e yr−1), six countries in South America (13.3 MtCO2-e yr−1), and Australia and Papua New Guinea (6.9 MtCO2-e yr−1). Emissions reduction estimates are based on the successful approach developed in Australia to reduce emissions from savanna fires using global-scale, remotely sensed estimates of monthly emissions. Importantly, 20 least developed countries in Africa account for 74% of the mitigation potential (60.2 MtCO2-e yr−1). More than 1.02 million km2 of savanna dominated protected areas within these countries could be used as pilot sites to test and advance a regional approach to mitigation efforts for savanna fires in Africa. Potential versus actual abatement opportunities are discussed. The management of fire season has been proposed as a climate mitigation tool but the scope and scale of this action is unclear. Here the authors use global emissions datasets to assess emissions mitigation opportunities for savanna fires, highlighting significant reduction potential in 37 countries.",False,False
10.1017/cbo9780511664885.004,Kyoto Protocol to the United Nations Framework Convention on Climate Change,2005.0,1041.0,1,0.004858056,True,"The Kyoto Protocol is an international agreement linked to the United Nations Framework Convention on Climate Change. The major feature of the Kyoto Protocol is that it sets binding targets for 37 industrialized countries and the European community for reducing greenhouse gas emissions.\n\nRecognizing that developed countries are principally responsible for the current high levels of GHG emissions in the atmosphere as a result of more than 150 years of industrial activity, the Protocol places a heavier burden on developed nations under the principle of ""common but differentiated responsibilities.""",False,True
10.1080/14693062.2019.1568959,"China’s national carbon emissions trading scheme: lessons from the pilot emission trading schemes, academic literature, and known policy details",2019.0,76.0,1,0.0049466435,True,"Upon completion, China’s national emissions trading scheme (C-ETS) will be the largest carbon market in the world. Recent research has evaluated China’s seven pilot ETSs launched from 2013 on, and academic literature on design aspects of the C-ETS abounds. Yet little is known about the specific details of the upcoming C-ETS. This article combines currently understood details of China’s national carbon market with lessons learned in the pilot schemes as well as from the academic literature. Our review follows the taxonomy of Emissions Trading in Practice: A Handbook on Design and Implementation (Partnership for Market Readiness & International Carbon Action Partnership. (2016). Retrieved from www.worldbank.org): The 10 categories are: scope, cap, distribution of allowances, use of offsets, temporal flexibility, price predictability, compliance and oversight, stakeholder engagement and capacity building, linking, implementation and improvements.Key policy insights Accurate emissions data is paramount for both design and implementation, and its availability dictates the scope of the C-ETS.The stakeholder consultative process is critical for effective design, and China is able to build on its extensive experience through the pilot ETSs.Current policies and positions on intensity targets and Clean Development Mechanism (CDM) credits constrain the market design of the C-ETS.Most critical is the nature of the cap. The currently discussed rate-based cap with ex post adjustment is risky. Instead, an absolute, mass-based emissions cap coupled with the conditional use of permits would allow China to maintain flexibility in the carbon market while ensuring a limit on CO2 emissions.",True,False
10.1111/j.2040-0209.2009.00320_2.x,"Climate Change Adaptation, Disaster Risk Reduction and Social Protection: Complementary Roles in Agriculture and Rural Growth?",2009.0,167.0,1,0.004817869,True,"Summary Reliance on subsistence agriculture means the impact of stresses and shocks (such as droughts or floods) are felt keenly by rural poor people, who depend directly on food system outcomes for their survival, with profound implications for the security of their livelihoods and welfare. However, such stresses and shocks will not necessarily lead to negative impacts, as risks and uncertainties, often associated with seasonality, are embedded in the practice of agriculture and there is considerable experience of coping and risk management strategies among people working in this sector. With climate change, the magnitude and frequency of stresses and shocks is changing and approaches such as social protection, disaster risk reduction (DRR) and climate change adaptation (CCA) will be needed to bolster local resilience and supplement people's experience. This study examines the opportunities for linking social protection, CCA and DRR in the context of agriculture and rural growth, exploring whether linking these three approaches together will help enhance resilience to shocks and stresses in agriculture‐dependent rural communities. The study does this by (i) reviewing conceptual and policy‐related similarities and differences between the three disciplines, by (ii) collecting evidence from case studies where climate change‐resilient social protection approaches have been trialled and by (iii) developing an adaptive social protection framework that highlight opportunities better coordination. This paper suggests social protection and DRR measures designed to limit damages from shocks and stresses may not be sufficient in the longer term. For social protection to be resilient to climate change impacts, it will need to consider how reducing dependence on climate sensitive livelihood activities can be part of adaptive strategies. Similarly, CCA and DRR cannot effectively address the root causes of poverty and vulnerability without taking a differentiated view of poverty, something that further integration with social protection can help with.",False,False
10.2458/v24i1.20969,The relevance of political ecology perspectives for smallholder Climate-Smart Agriculture: a review,2017.0,63.0,1,0.004817005,True,"Climate-smart agriculture has emerged as a way of increasing food productivity, building resiliency to climate change and reducing carbon emissions. Despite rapid technical advances, research on climate-smart agriculture has arguably under-theorized the socio-political processes that continue to marginalize vulnerable groups such as smallholder farmers. This review discusses the potential usefulness of political ecology perspectives for improving climate-smart agriculture. Political ecology theory elucidates how three interrelated socio-political processes that perpetuate smallholder farmer vulnerability significantly influence climate-smart responses: inequality, unequal power relations and social injustice. The article discusses these three inter-connected political ecology factors using a number of examples from the Green Revolution, smallholder farming communities, and indigenous farmers. In comparison to conventional technical approaches, our article argues that Climate-Smart Agriculture needs to consider political ecology perspectives at different levels to explore the vulnerability of smallholder farmers to current and future climate change impacts. Interventions to support climate-smart agriculture should examine local risks, specificities and priorities of smallholder farmers. The article concludes with a renewed call for concepts of inequality, unequal power relations and social injustice to be embedded into both the policy and practice of climate smart agriculture.",False,False
10.1057/s41599-022-01266-6,Synergies and trade-offs between climate change adaptation options and gender equality: a review of the global literature,2022.0,67.0,1,0.004815885,True,"Climate change impacts are being felt across sectors in all regions of the world, and adaptation projects are being implemented to reduce climate risks and existing vulnerabilities. Climate adaptation actions also have significant synergies and tradeoffs with the Sustainable Development Goals (SDGs), including SDG 5 on gender equality. Questions are increasingly being raised about the gendered and climate justice implications of different adaptation options. This paper investigates if reported climate change adaptation actions are contributing to advancing the goal of gender equality (SDG 5) or not. It focuses on linkages between individual targets of SDG 5 and climate change adaptation actions for nine major sectors where transformative climate actions are envisaged. The assessment is based on evidence of adaptation actions documented in 319 relevant research publications published during 2014–2020. Positive links to nine targets under SDG 5 are found in adaptation actions that are consciously designed to advance gender equality. However, in four sectors—ocean and coastal ecosystems; mountain ecosystems; poverty, livelihood, sustainable development; and industrial system transitions, we find more negative links than positive links. For adaptation actions to have positive impacts on gender equality, gender-focused targets must be intentionally brought in at the prioritisation, designing, planning, and implementation stages. An SDG 5+ approach, which takes into consideration intersectionality and gender aspects beyond women alone, can help adaptation actions move towards meeting gender equality and other climate justice goals. This reflexive approach is especially critical now, as we approach the mid-point in the timeline for achieving the SDGs.",False,False
