term,mean_tfidf_before,mean_tfidf_after,diff,doc_freq_before,doc_freq_after,clean
finance,0.003533762300468957,0.014048099308584626,0.01051433700811567,56,293,True
low carbon,0.0006962921655066221,0.009180258700175357,0.008483966534668735,14,180,True
carbon,0.019543689275473314,0.026403100604150978,0.006859411328677664,428,878,True
climate,0.018228794088007098,0.024911697929499738,0.00668290384149264,475,944,True
redd,5.829403807990554e-05,0.0062567495572783014,0.0061984555191983955,1,87,True
carbon finance,0.002069110909191662,0.008252175591658813,0.006183064682467151,25,133,True
financial,0.005297106443418774,0.011435101511794547,0.006137995068375773,111,302,True
2009,0.00023962510834587002,0.0061122189713996074,0.005872593863053738,5,156,False
low,0.0055337283693185245,0.011215978193753043,0.005682249824434518,125,329,True
copenhagen,5.318563642485633e-05,0.00540911698288818,0.005355931346463324,1,102,True
governance,0.0016512434302794164,0.006946125269920251,0.005294881839640835,24,148,True
carbon economy,0.0,0.0047249153185102985,0.0047249153185102985,0,66,True
mitigation,0.006178278598526646,0.010697091245864236,0.0045188126473375894,134,343,True
climate change,0.014826278201753309,0.019317452634029668,0.004491174432276359,378,737,True
climate finance,0.00017229022699579715,0.004326137807760143,0.004153847580764346,3,72,True
adaptation,0.003108493520614163,0.006998719030656693,0.00389022551004253,43,147,True
change,0.016372885927191563,0.020146014734767667,0.003773128807576104,433,816,True
economy,0.004114018309584523,0.007769775113268968,0.003655756803684445,79,185,True
global,0.012556644358694904,0.015896870143235275,0.0033402257845403707,313,622,True
security,0.0014786456384118878,0.004588698536807752,0.0031100528983958645,23,111,True
innovation,0.001703484911367858,0.004743334387272345,0.0030398494759044875,24,101,True
2010,0.001205581701485111,0.004190122574817545,0.002984540873332434,18,100,False
green,0.002731006174883181,0.005684168546595679,0.002953162371712498,39,137,True
challenges,0.004073733653905598,0.006745015331500652,0.002671281677595054,82,191,True
degradation,0.0012922555148460462,0.003943101416699876,0.00265084590185383,24,102,True
post,0.0026555104174488466,0.005248738712971961,0.0025932282955231146,44,134,True
new,0.008964313353727327,0.01152082477716116,0.002556511423433834,203,401,False
funding,0.0017350752099665162,0.004200487111633354,0.0024654119016668374,24,94,True
carbon markets,0.0009942242521815447,0.0034397996492174917,0.002445575397035947,16,75,True
13,0.004190725340609709,0.006605031592232607,0.0024143062516228976,47,100,False
markets,0.004953986761708364,0.007362374184530572,0.0024083874228222075,99,195,True
carbon market,0.003698943428955219,0.006085839920357603,0.0023868964914023835,53,142,True
ccs,0.0007624519910619239,0.0031450763974108288,0.002382624406348905,6,32,True
law,0.002280819000802307,0.004654234477017391,0.002373415476215084,29,79,True
national,0.007252810104395632,0.00961989486505966,0.0023670847606640276,160,338,True
change mitigation,0.0018525012459642022,0.004171817526196772,0.00231931628023257,34,110,True
chapter,0.002039181075164029,0.004335440637395817,0.002296259562231788,22,77,True
emissions deforestation,0.00024209343319657171,0.002518882076960427,0.0022767886437638552,4,62,True
crisis,0.0006741881645024484,0.002928772751735146,0.002254584587232698,13,61,True
existing,0.0036099875836686324,0.0058512834633562116,0.002241295879687579,65,186,True
carbon financial,0.0,0.0021904542518087445,0.0021904542518087445,0,23,True
ets,0.0022038170197128536,0.004326243344621951,0.0021224263249090976,20,62,True
consumption,0.0026148723875063923,0.004736960358397501,0.0021220879708911088,45,118,True
pricing,0.00047905802714668104,0.002536768318275617,0.002057710291128936,7,45,True
forest degradation,0.00026660982407338105,0.0022884837327546924,0.002021873908681311,3,47,True
data,0.004362701938359978,0.0063584373350746275,0.001995735396714649,85,195,True
org,0.0005342519567303649,0.0025169626475154295,0.0019827106907850645,12,55,True
