venue_type,venue_canonical,n_core_works,cited_by_sum
missing,[missing],151,718
repository_or_index,SSRN Electronic Journal,46,1
report_series,World Bank eBooks,42,5610
journal,Sustainability,26,1642
working_paper_series,OECD Working Papers,25,1686
repository_or_index,RePEc,25,7
report_series,World Bank,13,985
working_paper_series,IMF Working Paper,13,423
report_series,Climate finance and the USD 100 billion goal,11,353
report_series,OECD,10,388
report_series,OECD/IEA Climate Change Expert Group Papers,10,354
journal,Nature Climate Change,9,1650
journal,Climate Policy,9,441
repository_or_index,Figshare,9,0
journal,International Journal For Multidisciplinary Research,8,0
journal,Review of Financial Studies,7,5412
journal,Climatic Change,7,1001
report_series,OECD Papers,7,224
repository_or_index,Preprints,7,0
repository_or_index,Zenodo,7,0
journal,Journal of Financial Economics,6,6168
journal,Environmental Science and Pollution Research,6,1125
journal,Climate and Development,6,280
journal,Wiley Interdisciplinary Reviews Climate Change,5,700
journal,Energy Economics,5,465
journal,Environmental Research Letters,5,378
journal,Frontiers in Climate,5,265
journal,Frontiers in Environmental Science,5,122
journal,Sustainable Development,5,0
report_series,Faculdade de Filosofia e Ciências eBooks,5,0
