doi,title,first_author,year,cited_by_count,teaching_count,teaching_institutions,teaching_levels,teaching_regions,in_corpus
10.1108/ijccsm.2012.41404aaa.010,The Economics of Climate Change,,2012.0,4.0,7,Columbia Business School|EDHEC Business School|Harvard FECS|MIT|Sciences Po Paris|Stanford GSB|UNDP / UNITAR,doctoral|masters|mba|mooc|professional,Europe|Global|North America,True
10.1146/annurev-financial-102620-103311,Climate Finance,Stefano Giglio,2021.0,718.0,6,CFA Institute|Columbia Business School|EDHEC Business School|Harvard FECS|NYU Stern|UBC Sauder,doctoral|mba|mooc|professional,Global|North America,True
10.1016/j.jfineco.2021.05.008,Do Investors Care about Carbon Risk?,Patrick Bolton,2020.0,1.0,5,CFA Institute|EDHEC Business School|Harvard FECS|NYU Stern|UBC Sauder,doctoral|mba|mooc|professional,Global|North America,True
10.1093/rfs/hhz137,The Importance of Climate Risks for Institutional Investors,Philipp Krueger,2019.0,2415.0,5,CFA Institute|EDHEC Business School|Harvard FECS|NYU Stern|UBC Sauder,doctoral|mba|mooc|professional,Global|North America,True
10.1016/j.jfineco.2021.01.010,Corporate green bonds,Caroline Flammer,2021.0,1866.0,4,CFA Institute|Columbia Business School|Harvard FECS|UBC Sauder,doctoral|mba|professional,Global|North America,True
10.1201/9781003396949-21,Global landscape of climate finance,James McKellar,2023.0,349.0,4,FLACSO Ecuador|Frankfurt School / UNEP Centre|GIZ|UNDP / UNITAR,professional,Global|Latin America,True
,The Green Swan,Bolton,2020,,4,CFA Institute|Frankfurt School / UNEP Centre|Oxford Smith School|Sciences Po Paris,masters|professional,Europe|Global,False
10.1016/j.jfineco.2020.12.011,Sustainable investing in equilibrium,Ľuboš Pástor,2020.0,1817.0,3,EDHEC Business School|Harvard FECS|NYU Stern,doctoral|mba|mooc,Global|North America,True
,Principles of Sustainable Finance,Dirk Schoenmaker,2019.0,115.0,3,Erasmus University Rotterdam|Oxford Smith School|Sciences Po Paris,masters|mooc|professional,Europe|Global,True
10.1016/j.jfineco.2022.07.007,Dissecting green returns,Ľuboš Pástor,2022.0,947.0,2,Harvard FECS|NYU Stern,doctoral|mba,Global|North America,True
10.1111/jofi.13272,Global Pricing of Carbon‐Transition Risk,Patrick Bolton,2023.0,769.0,2,Harvard FECS|NYU Stern,doctoral|mba,Global|North America,True
10.1016/j.jeconom.2018.09.015,Climate risks and market efficiency,Harrison Hong,2018.0,879.0,2,Harvard FECS|NYU Stern,doctoral|mba,Global|North America,True
10.1016/j.jbankfin.2018.10.012,The effect of pro-environmental preferences on bond prices: Evidence from green bonds,Olivier Zerbib,2018.0,1200.0,2,Harvard FECS|UBC Sauder,doctoral|mba,Global|North America,True
10.7312/ushe20088,Investing in the Era of Climate Change,Bruce W. Usher,2022.0,1.0,2,Columbia Business School|UBC Sauder,mba,North America,True
10.1093/rfs/hhab032,Climate Change and Long-Run Discount Rates: Evidence from Real Estate,Stefano Giglio,2021.0,366.0,2,Harvard FECS|NYU Stern,doctoral|mba,Global|North America,True
10.1093/rfs/hhad002,Climate Risk Disclosure and Institutional Investors,Emirhan Ilhan,2023.0,595.0,2,Harvard FECS|NYU Stern,doctoral|mba,Global|North America,True
10.1016/j.jfineco.2019.06.006,An inconvenient cost: The effects of climate change on municipal bonds,Marcus Painter,2019.0,721.0,2,Harvard FECS|NYU Stern,doctoral|mba,Global|North America,True
10.1111/jofi.13219,Firm‐Level Climate Change Exposure,Zacharias Sautner,2023.0,1001.0,2,Harvard FECS|NYU Stern,doctoral|mba,Global|North America,True
10.1086/706794,Green Bonds: Effectiveness and Implications for Public Policy,Caroline Flammer,2020.0,255.0,2,Columbia Business School|Harvard FECS,doctoral|mba,Global|North America,True
10.1093/rfs/hhz072,Hedging Climate Change News,Robert F. Engle,2019.0,1207.0,2,Harvard FECS|NYU Stern,doctoral|mba,Global|North America,True
10.1016/j.jfineco.2019.03.013,Disaster on the horizon: The price effect of sea level rise,Asaf Bernstein,2019.0,816.0,2,Harvard FECS|NYU Stern,doctoral|mba,Global|North America,True
10.1126/science.162.3859.1243,The Tragedy of the Commons,Garrett Hardin,1968.0,22616.0,1,Harvard FECS,doctoral,Global,True
10.2307/j.ctt5vkrpp,The Climate Casino,William D. Nordhaus,2013.0,497.0,1,Harvard FECS,doctoral,Global,True
10.1257/jel.45.3.703,A Review of the <i>Stern Review on the Economics of Climate Change</i>,Martin L. Weitzman,2007.0,1030.0,1,Harvard FECS,doctoral,Global,True
10.1257/jep.32.4.33,Quantifying Economic Damages from Climate Change,Maximilian Auffhammer,2018.0,427.0,1,Harvard FECS,doctoral,Global,True
10.1257/jep.22.3.173,Probability and Uncertainty in Economic Modeling,Itzhak Gilboa,2008.0,180.0,1,Harvard FECS,doctoral,Global,True
10.5089/9798400210532.001,The Great Carbon Arbitrage,Patrick Bolton,2022.0,19.0,1,Harvard FECS,doctoral,Global,True
10.1073/pnas.1817444116,Declining CO <sub>2</sub> price paths,Kent Daniel,2019.0,118.0,1,Harvard FECS,doctoral,Global,True
10.1093/reep/ren014,Climate Economics: A Meta-Review and Some Suggestions for Future Research,Geoffrey Heal,2008.0,158.0,1,Harvard FECS,doctoral,Global,True
10.1007/s10640-012-9612-0,Scientific Ambiguity and Climate Policy,Antony Millner,2012.0,162.0,1,Harvard FECS,doctoral,Global,True
10.1016/j.jeem.2019.02.003,The social cost of carbon revisited,Robert S. Pindyck,2019.0,270.0,1,Harvard FECS,doctoral,Global,True
10.1093/reep/ret023,Reflections,Geoffrey Heal,2014.0,203.0,1,Harvard FECS,doctoral,Global,True
10.1257/jel.20211675,"Choosing the Future: Markets, Ethics, and Rapprochement in Social Discounting",Antony Millner,2023.0,16.0,1,Harvard FECS,doctoral,Global,True
10.1561/1400000080-3,How Carbon Accounting Supports Corporate Decarbonization,Dominik Asam,2025.0,1.0,1,Harvard FECS,doctoral,Global,True
10.1111/1475-679x.12473,Greenhouse Gas Disclosure and Emissions Benchmarking,Sorabh Tomar,2023.0,207.0,1,Harvard FECS,doctoral,Global,True
10.1007/s11142-021-09611-x,The impact of carbon disclosure mandates on emissions and financial operating performance,Benedikt Downar,2021.0,345.0,1,Harvard FECS,doctoral,Global,True
10.1016/j.jfineco.2020.11.001,Responsible investing: The ESG-efficient frontier,Lasse Heje Pedersen,2020.0,1689.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhz134,Is the Risk of Sea Level Rise Capitalized in Residential Real Estate?,Justin Murfin,2019.0,346.0,1,Harvard FECS,doctoral,Global,True
10.1257/jel.20151335,The Economics of the Climate,Geoffrey Heal,2017.0,76.0,1,Harvard FECS,doctoral,Global,True
10.1111/jacf.12502,The Financial Cost of Carbon,Patrick Bolton,2022.0,80.0,1,Harvard FECS,doctoral,Global,True
10.1080/0015198x.2022.2033105,Net-Zero Carbon Portfolio Alignment,Patrick Bolton,2022.0,74.0,1,Harvard FECS,doctoral,Global,True
10.1146/annurev-financial-111620-014802,The Pricing and Ownership of US Green Bonds,Malcolm Baker,2022.0,305.0,1,Harvard FECS,doctoral,Global,True
10.1257/aer.104.5.544,Fat Tails and the Social Cost of Carbon,Martin L. Weitzman,2014.0,132.0,1,Harvard FECS,doctoral,Global,True
